ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Et si,5,2023-05-07,"Great uni! Great profs (not all of them as in every uni), great opportunities. Still a young university but has a lot of potential and can compete with the best unis in Canada in several fields (business, cs etc…).",None
2,A,1,2023-06-06,"Coming from mcgill …. Concordia has no advisor… they say they do but they are impossible to reach and once you reach them they refer you to the online systems…… and are of no help

They barely have online courses…I took one 1.5 credit online this summer but has a mandatory 1 h per week in class…. So I have to drive 300km for that 1 h period every week.   ….. they would need to redefine online…

No help whatsoever for students and they are impossible to reason!",None
3,JE Jean,1,2023-02-06,"As a student in the early 2000’s this was a great place to study. As a recent employee, my experience was terrible. I worked for the faculty of engineering and the people they have managing the staff are pathetic. They like to throw around all the buzz words that make it seem like they care about staff but they’re two-faced, shameless liars. The union is useless- they say « we know the management is underhanded but there’s nothing we can do » and the Academics in charge couldn’t care less. Worst management I’ve seen in my extensive experience in the workforce. My advice is: don’t leave a job to work in the engineering department.",None
4,Bikram Lehar,1,2023-01-07,i have completed my masters and the only positive thing about the university is access to library and udemy courses rest is all worthless. so i spent 40 k in 1.5 years but it will help me getting a 3 year pgwork permit and 15 more points to my crs score. Thats it. not worth the time or money. Bad deal,None
5,lisa oz,1,2023-04-07,"Concordia University most of student get depression due to you prefer keep student pay turing fees without graduation !!!!!

Many student failed as same  subject due too very difficulty
due too many  hard questions during  Midterm and exam  period and the last final exam!!!!!!!!!!!!
Not recommend it 0 star  Bad teacher and administrative",None
6,Valiri Saati,2,2023-02-06,"People deserve to know about how leftist radicals and conservative extremists are mishandling our public schools (Student union rigged elections, Marxism, fascism, Satanism through the Freemasons and Illuminati) Centrism could boost this 2-3 star school to a 4 or 5 star as the hidden curriculum within caused by corruption is hurting a lot of students. You could thug through in less politicized programs such as engineering but the point is that all programs should be under strict reform and ready to adapt international norms regarding Centrism like Russia, that is excelling at mixing science and religion together validly. Take for instance the political line. Since it takes into account all logic, therefore Centrism is part of that in the center and has validity as well as a lot of value and divine knowledge.",None
7,abdullah tahan,1,2023-05-07,The university should pay more attention about the master degree finals many drs trying to challenge their students with exams that are way far from reality !,None
8,Rolanda Simth,1,2023-04-07,"Even not consider university specially  biochemistry ,90% bad teacher -Disorganize admirative !!Prefer student not successful to stay paying tuition fees they broken all the rules
They student failed three or more time same subject while other university they support student teacher work side to side with students 0 Recommend it -(bad ) ,",None
9,Angelica,2,2023-02-06,"If you need any career guidance, information on graduate programs, prerequisites, or requirements you will never get the necessary information. The program advisors for the faculty of arts and science are the worst. They do not follow up with you, they will never answer your calls, voicemails, or emails, and every advisor will tell you something different. You'll receive a never ending list of extension numbers to call with no answers to your questions.",None
10,Desmond Yu,4,2022-09-09,"This is a practical university for the practical students. Set a carrier goal, a hard working and serious student will definitely get a targeted or over target result. Just be serious, anything a university student needed are there, just waiting for the right student to get into the door and walk out with a smiling face.",None
11,J-Y Lee,1,2023-03-08,"BEWARE
Very bad and old schedule builder, poor assistance, indifferent administration, woke professors, witchcraft practiced within class, racist against specific group, sexist against specific gender and they make you pay extra fee with their TRAP classes like fall/winter class if you don't drop it on sept1...
AVOID this university.",None
12,kunal rakshit,4,2019-07-07,"The Halloween party at Concordia was quite enjoyable. A great combination of people, songs and dance made the evening memorable.",None
13,Wing Yau,1,2022-12-08,"Seriously ??? this school literally called his former student asking for donation of $120 in the name of alumni funding (they started the call with confirming your latest Information: phone, email, address etc, before bringing up donation), I said I need to read about why, said would call me the next day to confirm... Excuse me??? is it donation or blackmailing ???",None
14,Ana Van K,1,2023-03-08,"I wish I could give less than 1 Star…
Keep your money and do a trade instead. Lots of favouritism and teachers don’t help you at all.",None
15,carolien Lauren,1,2023-04-07,"Concordia University most of student get depression due to you prefer keep student pay turing fees without graduation !!!!!

Many student failed as same  subject due too very difficulty
due too many  hard questions during  Midterm and exam  period and the last final exam.
Not recommend it 0 star

Generally  Disorganized university specially for Biochemistry at Loyola camps,Bad schedules that ends late at night like night schools.(How student can study and graduated ??

How students handle bad time at night specially for the (Lab).
I have been in concordia since 2019 at loyola Camps I rarely find morning labs, which makes it hard to study since  I start early then back late to home for
Fall semester 2023  (horrible).
Lab should be at morning time ,than Evening time.Isnt' logical at all ,to finish night at 10 .pm, arrive home 11.30 p.m.
Hope we get solation soon😥😥😥 Not recommended  0 star",None
16,79 EDM,3,2022-12-08,"Concordia University is an indifferent university. It depends on you, if you like this university and if it’s meant for you, the student and employee.

During the pandemic, it is hard to study online and do  a Hybrid style year.  For those on leave or absence, use this time to not enroll until this COVID-19 pandemic ends.

Firstly, some of the staff, professors and other members are friendly, kind, sweet and genuine. While others are the opposite. So it depends who you want, what to expect from the professor and vice versa.

They should have better services for students of all backgrounds. I feel the quality of services I am getting are not that beneficial to me since it was not mentioned or promoted enough. I do hope services will improve for all.

Their downtown campus is not that environmental friendly. Loyola is the greenest campus they have. They should plant more trees, add green spaces, make it carbon negative and pollution free of possible. Also turn into a Zero Waste and a environmentally sustainable campus since they are on their way to Carbon Free by 2050 although that year is too soon too late. They should make it to 2030-2035 at the latest.

The University feels rundowned. Almost everything is breaking apart. They need to renovate  the downtown school buildings because I feel that they need to update to today's century and it just feels better.

If they renovate it  feels like a better atmosphere  a better learning experience and it seems more inviting as well. As for now, Most of their buildings are crumbling and slowly going downhill like a glacier. They need to clean  the buildings and improve it A.S.A.P.

Students should also take care of the university because it’s our school as well and we need to help and maintain it so that it will be a good school.

One benefit of the school is the Webster library. It's probably one of the simplistic and beautiful libraries I have ever been in. The layout and floor plan is well thought out.

Also, it is located near the Metro which is ideal for proximity.

Most students who could not get into McGill come here to pursue their studies here and most students know that they have different programs that you can't find at McGill.

This school should be a private univeristy without any government support or subsidies since it would be better and we get better services. Plus since it would be better Private it  can make sure all students a get the help they need without government support.

Also it should be like McGill and UdeM where they have green spaces and better learning opportunities and programs for students that want to make Concordia University their choice.

Yes Concordia is a great University but they need to improve if they want to be the best in the city and in the world. They should continue to push and make the effort to be in the top 100 at least. I hope they make it in the top 200. That would be a great feat if they can pull it off.

As for English it is important and a lot of students from French institutions also come here as well to learn the language and vice versa. Many French students I know love this university and many international students as well.

I hope they improve and change the learning curriculum for future generations. There will be a lot challenges ahead but hopefully they will change for the better.

At the end of the day, all current and future staff, personnel and students should be polite and nice towards others and themselves now and in the future to make the world a better place with the education and services from Concordia University.",None
17,Haroon Chaudhry,5,2022-07-06,"I visited Concordia as a prospective student from the United Kingdom. I never had the pleasure to pursue my studies there but what made me really reach out and review was due to the experience I had when I was researching. I visited the campus in the middle of the city, and was provided with all the information from the reception. I was also introduced to a lecturer and she was also very kind in giving her time to explain what was on offer and how the university was different to the others in the area.

I would definitely recommend this institution as just this small experience was enough for me to make my mind up.",None
18,Helene Lemieux,1,2022-07-06,"I’m introverted and I keep my private life outside of school, but I happen to be victim homophobia by a peer and the school didn’t do anything. I was forced to do teamwork with that said student for an entire semester, and ended up having to do it all by myself, because the person couldn’t talk to me for religious reasons. Many students there are clueless. I was one of 2 students to pass a calculus class with an A+, the average was D. You won’t learn much, and you’ll waste time around stupid people. Don’t get too excited if you get accepted to Concordia, they accept basically everyone as long as you have the money. Go to McGill if you’re serious about studying. Or become an entrepreneur and forget about university, they’re all run like businesses anyways.",None
19,NA,5,2022-11-08,"Phenomenal Education, Incredible International Staff, Current & Beyond Competent. I Completed Undergraduate degrees in Psychology with Neuroscience Specialization, and; English Literature with Prose/ Poetry Specialization.",None
20,Emmelikescoffee,4,2020-07-06,"Very nice building, especially because is directly connected to the subway and you don't need to go outside.",None
21,Rohin Ahmed,1,2023-01-07,"Teachers are lazy
Most of the classes I had the projector doesn't even work
Teachers assistants and teachers never reply to emails
I was in JMSB",None
22,Matt V,1,2022-10-09,"Do you want your kids to learn to hate straight white males? Then this is the place for you.  They will make sure your kid never comes to understand what a trade-off is or the importance of cost-benefit comparisons.  Instead, you just repeat platitudes and basically become a robot for Klaus Schwab and the WEF.",None
