ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Han Stw,5,2023-04-07,"Certainly was an out of the box thrift store and cafe place in Montreal. I circled the block several times before realizing where the store was as the facade looks like it was an abandoned building. But once inside, they have a nice hip …",None
2,Luciano Silva,5,2023-06-06,"Awesome thrift shop with lots to see. Highly recommended spot here in Montreal. It is also a cafe, super cool spot to hang out at and shop around for some vintage stuff. The place has lots of character. Can’t miss it while you’re visiting Montreal.",None
3,sanjana sarna,5,2023-05-07,"I have never been to a vintage store , this good when it comes to vintage ambience . The place gives a gothic vintage vibe, they also have a super cute cafe inside, enjoy a warm cup of cappucino, after soaking in all tht's vintage . …",None
4,Mia Melamed,5,2023-02-06,"One of my favourite places to visit when I’m in Montreal!! Always such a fun experience, as the music is great and the decorations are so fun to look at, and the staff is friendly. …",None
5,m4keoutcreek,4,2023-04-07,pretty good prices and atmosphere; they also have a food station which looks delicious. the only downside is that our jacket came with only one button and we couldn’t get any discounts on it :(,None
6,Samantha Achidi,4,2021-07-06,"They have a really wide selection of items for everyone’s taste, the clothes themselves seem to be still in really decent condition and are priced pretty fairly. They also have a coffee shop for those in need of a snack. …",None
7,Terry Chu,5,2023-06-29,Lots of choices plus excellent coffee outdoor,None
8,Blake St-Onge,3,2023-06-06,It's a cool place but the changing rooms are sketchy. I checked to see if there was a gap between my finger and the reflection and there was none. I think it's a two way mirror. 🤔I only noticed because the mirrors were glued so weirdly to the wall. Be careful and check yourself if you're there. Samosas were good. …,None
9,Didier,5,2023-06-06,"Great collection, unbelievable prices and superior customer service.

There’s even a terrasse in the back for a coffee and cookie when you’re done shopping.",None
10,Sole García Fernández,5,2022-11-08,"Surreal and great decorated vintage store with tons of things to see and check. Hands hanging from the ceiling, a lot of posters and incredible platforms to wear. I felt like in a theme park, loved it.
Also the cookies were delicious :)",None
11,Jamie Lin,2,2023-04-07,"The first few times I dropped by, i had good impressions of the store. The vibe and decorations are very cozy. Café and thrift shop's combination made me feel like a great spot to hangout as well. …",None
12,Adithya Philip,5,2019-07-07,An absolutely amazing store. The entire place has a charming casual hipster/vintage vibe - you could go here for that alone. I was extremely pleased with the selection they had to offer too - especially when it comes to vintage clothing. I …,None
13,Erica Vanloon,5,2019-07-07,"Wow, coolest thrift store I’ve ever stepped foot in. The vibe and character in this place is insane, so amazing!! First, you get free popcorn and apple cider at the door (amazing) and a free bag check. This store is massive, and packed with …",None
14,Caroline,5,2022-08-10,"Eva B is a work of art! even though my friends weren't fans of thrifting, they thoroughly enjoyed it here! as someone who loves to thrift, the selection here is insane, you can spend hours rummaging. but if you are more of a quick thrifter …",None
15,Piers Vaughan,5,2020-07-06,Just wow! The outside looks like a condemned building. But then you go inside. Coolest place in Montréal! One several sprawling floors they sell secondhand clothing and memorabilia would be a boring way to describe it. But the clothes are …,None
16,Lupa Duende,5,2022-07-06,"Calm, accepting, bilingual staff were welcoming as I wandered foraging for something that would bring a smile to this haggard housewife. …",None
17,M-C H,5,2022-07-06,Amazing store! Lots of variety on multiple floors. Just like a treasure hunt for the right look at the right size. They even offer vegan snacks at the cafe. We'll be back. Note: the washrooms are closed due to COVID..,None
18,Mikiya,3,2023-05-07,"It's ok. The place looks great, the workers are nice. But the place as become quite expensive. Especially considering that everything they sell there is already used. I just remember going there and buying things for less than 5$ just a few years ago, and I was disappointed to only find things that were 20$+",None
19,Emilia Guidobono,5,2022-07-06,We went thrift shopping! We are @evabvintage fans haha The best place ever for us second hand shoppers! …,None
20,Bernadene,5,2023-05-07,"Go upstairs! We didn’t realize that all the modern clothes are in the second floor along with the fit-on rooms. Downstairs you will find all the clothes tagged vintage. Unless you are a vintage lover, you should be looking at the collection upstairs.",None
21,Mina Lita,5,2022-08-10,i'm so happy to have found this place ! the concept of a vintage/clothing store + a coffee place is lovely ♡ they even have vegan options & their vegan cookie was delicious ! my new favourite spot !,None
22,Mirina XO,4,2020-07-06,"It is a really cool, unique store with tons of different things from clothing to shoes and accessories. There’s even popcorn. It’s very random but in a good way. My only complaint was how busy it was and how tight everything was packed, …",None
23,Al Lingua,4,2019-07-07,"They had some much stuff, it would take you days to go through everything lol. In my eyes, the best thing is the sitting area in the back. Very relaxing and the art back there was really nice. Also love the free lemonade.",None
24,Jason C,5,2019-07-07,"Eccentric thrift store with a great cafe as well. They had free samples of hot cider on a fridged day as well. Plenty of odds and ends to peruse, and quirky spots to eat both upstairs and down.",None
25,Noah Gould,5,2022-07-06,"Eva B has got to be the coolest store in the city. I loved the vibe inside, the decor made it really laid back and fun, while the music kept the energy high. The selection was exceptional, providing a wide variety as well as many exclusive …",None
26,Mélanie LB,4,2019-07-07,"Really great thrift shop. You are greeted with free popcorn and hot cider with spices. The place is incredibly beautiful, with unusual decorations, vintage pieces and aquariums. The chai latte is only 2$ …",None
27,Rock The Bells,5,2023-06-06,"Love it ! Got clothes you don't wear anymore? Bring it to Eva B ! And they will give you a store credit (depending on what you bring of course)  Grab a wrap on the way out , they are delicious!",None
28,Rachael,5,2023-02-06,Such a wonderful store! HUGE selection of vintage clothes for super reasonable prices. Bought a lovely long wool skirt for $10. Bilingual & very helpful staff. Don't miss the upstairs!,None
29,Mohannad Nemeh,5,2023-05-07,"Honestly one of the best thrift stores ever (besides Eva D). They have a good selection of basics with fair prices. However, I didn’t not like their reselling program if you want to sell your clothes to them, not worth it cuz it’s by piece …",None
30,Jeff Heskin,5,2020-07-06,"What an amazing and interesting boutique!  We happened upon it as we simply walked the neighborhoods of Montreal.  From the storefront, you can’t even imagine how unbelievable it is inside.  Definitely a must to experience!  Investigate EVERY level and corner inside and out!",None
31,Marena St,5,2020-07-06,"Great selection of used clothes, jewelry, bags and really good prices. They have some food, free popcorn and lemonade. Love the decor, best thrift shop in Montreal! Even better than thrift shops in NYC!",None
32,Vee TeePee,5,2023-06-06,"A little pricey, and the item I purchased had a broken zipper. But the staff were great and it's worth checking out for the atmosphere.  Check it out, keep an open mind!",None
33,Yiting H,4,2019-07-07,A very interesting place to visit. It’s a very signature store in the area and it’s got a very special vibe! The staff here is friendly and they offer you free cider and popcorn. The place is so unexpectedly big comparing to the look of outside.,None
34,Zyanya Ruelas,3,2023-05-07,"This is one of the coolest thrift shops to visit in Montreal. However, it's also quite expensive and it's not easy to find plus size clothing. 40$ for a t-shirt 🤔 …",None
35,M B,3,2023-06-06,"I felt it was great to walk around and eclectic, but in terms of seeing anything that caught my eye to purchase? Not so much.",None
36,David Halley Ponce Lopez,5,2018-07-07,"Best restaurant in town spiced with an unique extravagant decor and attached to a thrift store. They offer a whole high-quality vegetarian homemade tasty food for just 10$ tax included (main course, soup or salad, dessert & drink). Definitely a hidden jewel of MTL!",None
37,Hannah Wicki,4,2022-12-08,"A good thrift store with a unique atmosphere and decor. The inside can so,Erie,s feel overwhelming due to the large amounts of items hanging from the ceilings and over stimulus of art, but that also is what makes the place so unique. The …",None
38,Noushin Bahr,5,2023-05-07,"Love this place. The food is vegetarian, delicious and affordable and they have a huge vintage clothing collection",None
39,Aron Glazer,5,2017-07-07,"This three level thrift store/café/restaurant is very cool, and had so many different things to look at.  I really enjoyed the meal, at an excellent price!",None
40,Yariela,3,2022-12-08,"GOOD: A lot of variety of clothes
BAD: Compared with other second hand shops, this one offers high prices in relation to the quality they offer.",None
41,Ramona Kao,5,2023-01-07,"I have not bought anything at the store (yet). But from what I've seen and experienced, it's a fantastic space that doubles as a café and a thrift shop (with an abundance of options!) Also has an outdoor seating area!!!",None
42,Jalo Kuiper,5,2022-12-08,"Ava B has fantastic vintage finds, and a cafe to enjoy a hot beverage and desserts.",None
43,Elijah,4,2023-03-08,"The coffee was refreshing, and there is a good selection of clothes and scarves. A nice hole in the wall in Montréal!",None
44,Catherine Chen,5,2023-03-08,"i think that eva b is the first thing that any girl who moves to montreal from a suburb posts on her instagram story to hard-launch her move to montreal, but then they never go back. sometimes i come here if i am taking the green line and …",None
45,Tiffany Dawson,5,2021-07-06,"Great thrift shop! Fun atmosphere, unique vibes, always new things to discover, and great food! If you are reading reviews to find a great place to thrift, look no further!",None
46,Liz Zamora,5,2019-07-07,Amazing second hand store with a great variety of items to choose from. You can get pop corns for free while you shop in a loose and chill environment with cool music in the background. Find all kind of stuff!! We also stopped for a tea and …,None
47,Silvisabel Fajardo Bernal,5,2018-07-07,"One of my favorite places while living there. A 3 story thrift shop with a vintage and homemade vibe. An old building adapted; has a terrace on every floor. Lunch options of a beverage, soup, lunch and dessert for $10. My favorites choco biscuits, samosas and a coffee (for $1 each). Usually grabbed 2 on the go. Superb!",None
48,aurelia pelletier,5,2023-06-06,"Fantastic staff, atmosphere, selection and prices. will definitely be back soon.",None
49,Antoine Aflalo,5,2023-06-22,"Their dessert is to die for ! Same for their Samosa.

Imagine, taking a tea/coffee on the terrasse while enjoying your dessert and …",None
50,maya goudreau,5,2022-07-06,"It is probably one of my favourite places when I’m in the area, the ambiance is amazing and you can find really good finds if you look well since there’s a lot of things. At first I thought it would be overwhelming since it’s so big and has …",None
51,Lenu,5,2022-11-08,"A great interior and atmosphere, exciting music that fits the searching for the perfect piece. Usually quite full.",None
52,X K,5,2023-06-06,Great selection of unique items at a reasonable price but certainly on the higher end.,None
53,Rébecca Lefebvre,4,2023-02-06,It's a bit expensive for what the clothes are sometimes but I love the style and we're downtown. I really like their cornbread too.,None
54,Jamie Manias,5,2020-07-06,"This place is stunning. It's so artsy I almost forgot it was a store. The prices are fair too, some really neat finds. The café was very nice too.",None
55,Kat M,4,2019-07-07,Thats one crazy huge 2 levels thrift store with donated items. Selection is enormous and place overstimulating haha. Despite I havent found any treasure swag I enjoyed it there and recommend for vintage snd trinkets fans.,None
56,MrsWayfarer,4,2020-07-06,"Instagram-worthy interiors, quirky and unique vintage finds. Friendly staff and cool, lively vibe. They have vintage clothes, shoes, accessories, books, cds, dvds, etc.",None
57,David Knights Cowling,5,2023-04-07,"Rad spot with super cheap coffee and samosas, as well as the gargantuan vintage collection.",None
58,FREEMAN,1,2023-06-30,"Was not open.
Met worker in front of store. Rude unfriendly and not open during posted business hours",None
59,Bennie MacEntyre,5,2020-07-06,"Extremely Cool, punk, Nuevo Chic cafe, Vintage, consignment clothing and goods.. Greeted with free popcorn and fresh juice.. friendly staff a good experience",None
60,Audrey Ivester,5,2021-07-06,such a cool thrift store! awesome decor with clothes inside and outside. staff is super super nice and the cookies are so so good!! awesome selection of all types of clothes for good prices.,None
61,Jade Summer,3,2022-07-06,"The store is definitely a lovely atmosphere
, however organization is... not something you'll get here, which means if you're looking for your actual size, you'll have to go through the entire store to …",None
62,Marc Philippe,4,2022-11-08,If you have adhd get ready for a sensory overload but it's a really cool store. Eclectic for sure. Up stairs less pricey as downstairs. A place to check out while in Mtl if you're looking for a great thrifting experience.,None
