ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Anonymous,5,2023-01-08,"Beautiful library architecturally and inspiring place to work. Tables all over but it gets rather busy so I'd suggest arriving around 9-10am. Comfortable desks too, has a slight angle to it and slight angle footrest too at the base. Airy and light, though can be noisy depending where you sit so bring some headphones. Bright and inspiring.

You can borrow video games too!",None
2,Krystel El Koussa,5,2023-04-08,"I love this library. It’s really big, beautiful and clean. They have a bistro and a café. You can get a membership card if you reside in Quebec and you can actually borrow anything from the library for free. You can also just come in and read in it for an afternoon. Do some research, study.",None
3,Caroline Malee,5,2023-05-08,"The most incredible library! We just wandered the sections and fell in love. It is so cool to see such a large collection of comics and graphic novels, and the music/record room was amazing! Architecturally lovely, it's airy and comfortable and feels inviting",None
4,C M,5,2022-09-10,"The most beautiful library in Montreal. I really love the music room on 5th floor. Staff are all friendly and so helpful! Location is also good, connects to the subway(I saw that the parking fee is around $12)",None
5,Barbara “Financial Tidbitter” Aboagye,4,2022-07-07,"This is a beautiful space to relax and work. It's open to the general public.  To borrow books, you do need to have a card. There are enough working space and computers to work with. You can also have a space for your laptop. It's quiet and I do love the ambiance. There are a wide variety of books to choose from.  There are video games which you can borrow as well as magazines and manga. The library has a wide variety of resources for kids and adults and all kinds of academic disciplines. There are elevators and easy to move from one floor to the other.

The architecture is surely impressive!",None
6,Emilia Guidobono,5,2022-07-07,"People, brace yourselves if you are bookworms! I lost myself here. Its a calm, warm, clean and spacious library with tons of thousands of books and activities for you to spend afternoons letting yourself be free to work, learn, study in a quiet and beautiful atmosphere. 100% recommended to go, specially if you are visiting Montreal. So worth it.",None
7,Elizabeth Martel,5,2023-04-08,3rd level is best to find a spot to sit or a table to plug laptop in.,None
8,Nigel Peters,5,2022-07-07,"It was such a calm and reassuring library knowing that people are still reading in this modern technological age of Super computers and lightning fast internet.
Plenty of books in case you are wondering- fantastic collection of books for every reader.
There is a fast elevator to take you up and down the 4 floors.
Saw a lot of staff around and quiet areas where you could work.
Computers to for those who need then.
It's free to enter so anyone can. Parking is available outside and is metered - what a blessing in Montreal.
If you like reading go to this library.",None
9,SILVIA RAMIREZ,5,2023-06-23,"The biggest public library in Montreal. It has a bit of everything, comics, magazines, novels in braille or audio. Is a nice selection of books and documents open to everyone who enjoys learning, relaxing and reading.",None
10,Esther Gibbons (Wedding Photographer),5,2023-05-08,"Beautiful spacious library where you can work or study, in addition to borrowing books, board games, video games, movies etc. Many comfortable workspaces with laptop plugs readily available, although spots can fill up fast on busy days.

You can also borrow ebooks on your phone or tablet for free with the Libby app.

There's a coffee shop on the ground floor and they let you drink your coffee near there while working or reading books.",None
11,Cityguide,5,2023-05-08,"I absolutely love the Grande Bibliothèque de BanQ! This library is truly a gem in the heart of Montreal, offering a vast collection of books, journals, and multimedia resources in a wide variety of languages. The building itself is stunning, with a modern design that is both spacious and inviting.

What sets this library apart, however, is its exceptional customer service. The staff members are knowledgeable, friendly, and always willing to help you find what you're looking for. They also offer a range of programs and events for all ages, including workshops, book clubs, and author readings.

Whether you're a student, a researcher, or simply someone who loves to read, the Grande Bibliothèque de BanQ is a must-visit destination. It's the perfect place to spend a quiet afternoon browsing books or to dive deep into research on any topic. I highly recommend this library to anyone looking for a great resource in Montreal!",None
12,Kelly Marin,5,2023-06-07,Amazing library. Came here with kids and we were able to find lots of books in French and English. So nice to be able to have a reading break even while on vacation.,None
13,Sharifa Syeda,5,2023-06-16,"Such a calm and peaceful place. One of my favorite places in this city. Books, DVDs & Old collections.... I have so many memories here.",None
14,Steeven “LUCA” Gaul,5,2021-07-07,There is archive here that just to read cost you a arm about the past of America. The outdoor is made of glass it is a amazing piece of architectural work. I could not went inside but I will be back and take picture for inside.,None
15,Sara Oday,5,2023-04-08,"The library is huge with a mega range of books. You can also rent video games and movies. It has a music room and a kids area as well. It is also perfect to hange out, read, do homework and just relax.
The cafe is finally back too!",None
16,Tatiana Povoroznyuk,5,2022-12-09,"A beautiful central library! Staff is kind and attentive, and multilingual. The process of getting a library card is extremely straightforward. Large collections to browse and ample comfortable seating. There's a used bookstore on the ground floor, as well as a coffee shop.",None
17,Osama Baig,5,2022-07-07,"This library is very well organized! I just wish they had a semi silent area for those that want to ""Work from home"" or be able to participate in work calls. Also monitors that can be plugged into laptops would be another great addition. Other than this the architecture was simply stunning. I really enjoyed the art museum on the top floor!",None
18,fenix medieval,5,2023-03-09,"A wonderful place to read, study and spend time with the children. You can bring books, music games, movies and series for free! Enjoy it.",None
19,Blue Sushi,4,2023-06-07,Pretty cool place to study and alot of people don’t know that there is a music section on the highest floor where you can actually play instruments,None
20,Aripra Chatterjee,5,2023-01-08,"The library is very it has 4 floors. The bottom floor is for kids which has a big space for kids to read,they have comfortable sitting place for kids and lot of different  books for kids to read. The top 3 floors are adult sections and they have comfortable  sitting places to read .",None
21,1000000,2,2023-04-08,"the interior is not bad, there are many homeless people. the exterior is awful, I think they changed plans along the way to end up with that big block of dirty glass look.",None
22,Tyler Crawley,4,2020-07-07,"Best library in the city. It's super easy to sign up and a LARGE selection of books. You can also find movies, music, computers and many study spots tucked away. Beautiful interior and very welcoming. The graphic novel section is particularly good.",None
23,Michael T,2,2022-09-10,"How much it costs for this little section for kids?

Nothing interesting for kids!
Old school!

Where are all the 3D printers and projects? New technologies?",None
24,Sony Mathew,5,2019-07-08,"Must visit place in Montreal.
Vast books of different genres and digital library too. You can peacefully read and refer books and journals. Entrance comes up with a information counter and service desk.",None
25,anil kuldip,5,2018-07-08,"Great library, fast internet, good for studying but especially during exam time there is literally non space you can find that you can sit in except if you come like at 10 in the morning, there's like 2 little coffee shops, a lot of restaurants around, and it's connected to the Berri metro station.",None
26,Chalo Priego,5,2022-07-07,"Love this place, feels like you can come here alone or with good company and have a chill day surrounded by books a d more!",None
27,Hans Villarpando,5,2022-07-07,"Is the best library in Montreal, all kind of books for every age, movies, music, games, etc",None
28,Francisco Argüello,5,2023-06-07,The library is very bright place and quiet. The service is always nice.,None
29,John J,5,2023-05-08,This place is awesome and huge. Tons of books and services and the building itself is really cool too.,None
30,喜相逢,5,2021-07-07,"It's a great place, lots of books, lots of classical music, lots of jazz CDs.",None
31,Michael Howlett,5,2022-09-10,"A very decent and fairly large library.  It's a little utilitarian and a bit run down in some spots, but it has a few nice little pockets if you want to get out of the house and get a bit of work done.  It's nothing to call home about, but a solid public library is a special place and will always be five stars in my book...",None
32,Live Now,5,2020-07-07,"Full of dvd, game packs, board games, comfortable chairs, comic books and BOOKS.
Amazing library!",None
33,Patrick Corriveau,5,2022-11-09,"My favourite place to go work study or read, beautiful place!",None
34,Anna Dowdall,5,2020-07-07,Book lovers' heaven.  A jewel in the crown of Montreal.  The kind of place a writer like me goes to when I need to refresh my faith in public institutions.,None
35,Fabián Baeza,5,2023-04-08,The largest library in Quebec. Amazing!,None
36,Julien Mancilla,5,2019-07-08,"Absolute gem, big, spacious and very quiet for a library this size. It has to offer all you need in terms of books, music, attractions and even devices like ipad’s and laptops if you would be in need of one.",None
37,Hetal Sompura,5,2022-09-10,"Positives: Great selection for printed Books, video games, movies and Magazines. Usually helpful staff. Once Security personnel helped us with first aid as well.

Negatives: They do not have online access for Harvard Business review and other top magazine's latest copies. Many eBooks are not available. Once I met uncourteous staff, she seemed irritated by my question and having to answer in English (just one of the case)",None
38,S. M.,5,2022-07-07,"Huge and beautiful space; there’s a variety of materials available to borrow, including in English. I feel happier after walking into this library. Good service, though the self-serve machines are easy to use as well. The book return machine is also neat to watch.",None
39,Natan Sakajiri,5,2022-07-07,"A massive, clean, and beautiful library! With an incredible number of books and media, the library provides a variety of services. The space is very well maintained and staff are friendly. There is also a cafe and good access to the nearby metro station.",❤️
