ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Desmond Yu,5,2021-07-06,"Supposed to go to find a swivel bar stool, a lot of choices but none fits my expectation. Interesting enough, do find an office chair interesting, and ended up taking that home. …",None
2,Nima Tahriri,4,2023-06-06,"Overall, it's pretty good.
Food is so so.
Breakfast was not good. …",None
3,Nadia Qulood,5,2023-05-07,"We had a great time here and we definitely enjoyed the food!
Although the meat balls are made from beef and porc... the plant balls are no less! We took plant balls because we eat halal food...and it was great!
I definitely recommend this place to everyone!",None
4,Rajni Nautiyal,5,2023-06-15,"Wonderful place to shop for your home decoration and other utilities. The best thing is  the layout of the items, and the perfect arrangement of everything.",None
5,GhostRider ghost,3,2023-05-07,"Always a nice place to shop and eat cheap food, breakfast is delicious and the ice cream is a must... But the wifi is super bad here.",None
6,Arjun anilkumar,4,2023-06-06,Biggest furniture store. Good selection and wide variety of products. Self counters are available for billing along with other counters. Lots of floor area. Easy access to the parking.,None
7,Lsdominguez,5,2023-06-29,"IKEA is an excellent place to buy your furnitures or to redecorate your home.

I love coming to this place to have home ideas and to change old furnitures. It …",None
8,云梦丁氏,1,2023-06-06,Can’t find anything where a garlic presser has 100 in stock but none to be found downstairs. Restaurant is closed and bistro is closed where clerks are clueless on the ground. And you won’t be able to order for pickup in two hours. They …,None
9,Laith Alhelalat,4,2023-06-06,"I had a good service from them , However many items are out of stock. And I bought some items and one of them was not available at the store that time ( I bought a bed the base was out of stock ) and they told me to buy it now and take it …",None
10,Andrey Akh.,5,2022-09-09,"You have never been to IKEA?

Just go! …",None
11,kosta karkavilas,2,2023-01-07,"The carriages are the worst I’ve ever used !
No control all over the place. Made my shopping very difficult!!!! The hot dogs were cold!! I got frozen yogurt, according to the girl. It was soft ice cream 🍦. Very disappointed ☹️ …",None
12,ilove montreal,5,2023-06-15,"Wow wow wow , best prices best materials best products best of everything love loving it",None
13,Madhu Malla,3,2022-11-08,"Over crowded however good stuff to shop around. Price have up on iteam which are not durable.
Christmas items are fun to shop, especially the ornaments and these can used season after season.",None
14,Keith Anderson,3,2023-04-07,"I recently visited IKEA and, while I appreciated some aspects of the experience, there were also some issues that prevented me from fully enjoying my time there. …",None
15,Khalel Leconte,4,2022-07-06,IKEA has one of the biggest (if not one of the best) showrooms of furnishings choices/pieces in Quebec. You have a great variety of products for your home. A multitude of presentations and agencements possible for you to explore with the …,None
16,Jonathan Lane-Smith,4,2023-05-07,"IKEA is great, especially their Swedish meatballs! At the end of the checkout you can usually buy hot dogs too but they weren't available when we went. Ice cream was still available so we got that, but it was way too sugary. Don't get the strawberry soft serve, stick to just vanilla!",None
17,Aniket Gupta,5,2023-06-06,"IKEA Montreal is a haven for furniture enthusiasts and home decorators alike. From the moment you step inside, the store greets you with its spacious layout, allowing for a seamless shopping experience. The vast selection of well-designed …",None
18,Samantha Stilwell,4,2023-05-07,"We love an IKEA store. The Montreal one is pretty standard, always clean and lots of options. The only reason there’s 4 stars is I find recently they’re out of stock on a number of different things. But aside from that, it was great.",None
19,Arun Prasath,5,2023-06-06,"You will get all A-Z items for your kitchen,living room bedroom and the restrooms too. The price are reasonable. There is a self checkout as well as the service counter. Good displays of all the products. The restrooms/toilets can be little cleaner.",None
20,Vishwa Chokshi,2,2023-06-06,"To be honest, it's a stupid place and not worth going so far and wasting time. However, if you want something then check it first on their website and have confusion call their customer support, instead of going to the store. Lamps and …",None
21,Ange B,1,2023-06-30,"I don't know what's worse, building ikea furniture, the telephone customer service or the customer service in missing parts at the store. 2 orders in this last week with 3 items and both have cost me more of my life than anything …",None
22,Shweta Suryavanshi,4,2022-08-10,"Very happy to visit this Ikea location for first time. Very affordable furniture and household items, many of them on sale. Customer service is amazing. I gave four stars because of cafeteria is not very clean. Need more employees in that …",None
23,Nancy Di Girolamo,5,2023-06-22,Of course I love ikea like everyone else. But also I think I found the great time to go to IKEA when there aren't too many people. Between 5 and 7 pm during the week.,None
24,Bernadene,5,2023-05-07,"Does it really need an explanation? Haha IKEA is your inspiration to decorate your home. Lots of ideas. But once you have a sense of what you need, shopping online might be easier. Parking is hectic, specially during the weekend. But just go! And let your inner child jump onto those comfy beds.",None
25,Life patiently,5,2022-12-08,"Parking is ALWAYS hectic it doesn’t matter which day and time you go. I’ve been to other locations and I find this one to be the best. Prices have gone UP, but that’s inflation. The inventory is sometimes inaccurate so I always check online …",None
26,Stephen Murray,1,2023-02-06,"Every part of my experience with this Ikea was painful. From in store, where they sent me to collect things from self-service that were in fact not in stock, to telling me some furniture was available for delivery only to find later they …",None
27,Udayan Verma,1,2022-07-06,Worst IKEA in last 15 years. First they didn’t let me take trolly upstairs!! Why!!! I had to carry all my stuff in hand until I reach a trolly!! Really? U want me to carry everything on my shoulder. Worst was no IKEA blue bags at the …,None
28,Hellostel Mont-Royal,4,2023-06-22,I find the product selection has lost much quality and the prices are higher. Bunk beds for example are ridiculously expansive. $401.26 for bed that takes forever to put together and is not even that good looking.,None
29,Danielle Girardi,5,2023-03-08,"We decided to do some last-minute shopping to stage a home and this IKEA has some of the best customer service agents. Our Movers actually suggested the food and having never eaten there, I was skeptical. I was pleasantly surprised. The carrot cake and Swedish meatballs were amazing!",None
30,elisabeth lajoie,5,2023-06-06,"Customer service for returns has improved, the wait are not as long as they used to. It good to know that they keep working on ways to make it more efficient.",None
