ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Nikolai Cherenkov,5,2023-06-30,Great local market. Lots of fresh produce. Good seafood and meat selection. Food court is amazing with many local options. Plan on spending 2-3 hours here if you want to get food as well. Parking is tight.,None
2,Oscar Flores,5,2023-06-23,"Great outdoor market with both fruit and veggie stands as well as nursery , flower shoppes, bakeroes, maple product stands, juice stands and restaurants all around main market. Fruit and vegetables are very fresh and reasonably priced. Definitely worth checking out for a couple hours when in town.",None
3,Ankit Trehan,4,2023-06-23,"Great farmer’s market with a number of vendors selling their produce. If you live close by then it is a great spot to buy your organics from. About 10 min walk for the jean-talon metro. Fun vibes and music always popping. Amazing selection of flowers, veggies and fruits. Cool houseplants as-well.",None
4,Nadine Lovell,5,2023-06-07,"This is my favourite market in Montreal. There are endless options for fresh produce, fresh seafood, fruits, vegetables and tons of local cheeses. There are also many excellent restaurants & cafes near by. It’s a great way to spend a …",None
5,Chau Pham,5,2023-06-23,"I'm grateful to have had the opportunity to explore this market and immerse myself in its charm. Whether you're a food enthusiast, a lover of fresh produce, or simply someone seeking Quebec vendors, this market will not disappoint. It is a beauty!",None
6,Fernando Aguero,5,2023-06-23,"At this iconic Montreal market you can find fresh food, prepared food, plants, flowers, souvenirs, etc a really good prices.  Also if you don’t want to buy nothing, you can delight yourself with the beautiful flowers.",None
7,Angieee,4,2023-06-07,"Very quaint farmer’s market with tons of plants/flowers vendors, delicious smelling bakeries/cafes, and yummy fresh fruit and maple syrup produce stands🥰 …",None
8,Brook Sternberg,5,2023-04-08,"I visited on 3/22/23. Amazing and wonderful market full of fresh produce, meats, flowers, honey, maple syrup, patisserie items. I loved it. I would love to come back and see it in the Summer when numerous more vendors will be outside too. …",None
9,Ruhan R,5,2023-06-16,"A fantastic farmers market, filled with local vendors with all sorts of diverse offerings. Love the mix of ethnic foods as well as Quebec farm products. Prices vary a lot from vendor to vendor, some better than others. Plenty of ready-made …",None
10,Lydia Fougeres,5,2023-04-08,"Absolutely wonderful place to go. Feels like a country farmers market but in the middle of a city. Cannot go wrong if you go buy your fruits, meat, fish, teas, get wooden socks, find flowers for any event and more! Get up and be happy at the market❤️🙏 …",None
11,Han Stw,5,2023-04-08,"I am not sure if this is a flea market (as is described in Google maps) rather farmer’s market type place. Selling fruits, meats, vegetables, cheese, other food products mostly. Full of vendors and I could tell the food is of high quality and fresh. Highly recommended if you want to grab some fresh fruits and vegetables!",None
12,A H,5,2022-09-10,"its a bubly place, crowded but not loud, smells good like freshness and many FLAVORS,  you can shop, have a whole meal or just a snack cuz you got many varities, lots of restaurants …",None
13,Laura Carolina,4,2022-07-07,"Fresh, local produce, flowers, lots of apples and potatoes (December). Many vendors of vegan items, including juices, mushrooms, nuts, organic produce and chilled/packaged items. Small bookshop on site too.
Some vendors don’t speak English.",None
14,Sonia A,3,2023-05-08,"Came here on a suggestion from beastie.
Not a lot of stalls open/available the day I visited.
You will have to shop around if you are looking for a good deal.  There are …",None
15,Roopa Udeshi,5,2023-05-08,"This market in Montreal is a beautiful market with varieties to pick from.
Organic veggies
Organise fruits …",Thank you for comment Roopa! We are happy to count you among our customers.
16,Albert Van den Berg,5,2023-06-30,"Nice and colorful market close to Jean Talon subway. You can find here all kind of fruits and vegetables, boulangeries and flowers. The products are organic, locally grown and the people serving you are always smiling and helpful. …",None
17,Mr Zutes,5,2023-06-09,"Excellent market for produce and plants, decent prices and friendly service at each stand. As a primarily English speaking person I was able to communicate effortlessly with all the vendors. If you don't like crowds I highly recommend going during the weekdays as weekends are quite packed.",None
18,Yul Local,5,2023-05-08,"Fresh local produce. I shop here at least twice a week it is an awesome place! Everything from the scent, colours and flavours and the friendly merchants, makes this place worth the visit.",None
19,susan tran,3,2022-12-09,Honestly I use to like coming here but now it’s more expensive compare to the grocery store. Like I want to support the small local markets but it’s hard when they raise the price and u get less veggies.,None
20,Marcus,5,2023-06-23,Everything here looked fresh and clean. Got baklava and fruits..all were great!,None
21,Jennifer Martinez,5,2023-07-02,This market is very nice. I love that is has a parking garage. If you are coming from another country please make sure to bring your own bag. We tried the tacos and they were delicious! I tried the corn dogs and I must say the presentation is pretty. They are good and would recommend them. Perfect place to buy fruits and vegetables.,None
22,Asheta Perpetual,5,2023-06-07,Great market for fresh produce and meats. Has a chill vibe if you are looking to try various cuisine in smaller portions and just take in the market,None
23,Sneha Sunil,4,2023-06-16,"Very reasonable prices of vegetables,fruits and flowers. There is an ice cream shop too havre aux glaces which is a must try! Approx 5 min from Jean talon station",None
24,Krystel El Koussa,4,2023-04-08,A great market to shop for local fresh produce and to discover local products! It is also a nice place for tourists to discover a taste of the cuisines in Montreal! I tried several small items. What I specifically liked about the market is …,None
25,Huseyin Gultekin,5,2023-04-08,"Great food great employees. Their food is delicious. Either you buy a hamburger, kebab, or fish platter you will eat the best. It is not only a fast food restaurant but also has a la carte service on second floor. My son loves it. The prices are reasonable.",None
26,Prapti Patel,4,2023-06-07,"Fresh produce and plants. Nice variety of treats and eats. Restrooms clean, and water refill station available.",None
27,Naomi Song,5,2023-03-09,"Variety of fresh beautiful fruits, veggies, deli, flowers, baked goods.
Easily accessible parking.
Bring cash and a grocery bag!
Every vendor was amazing.",None
28,Felix Redensky,5,2023-06-07,"Nice to visit. Fresh fruits and vegetables.  Excellent cheese, meats and seafood selections.",None
29,Mohammed Al-Mansob,5,2023-01-08,"A must visit attraction in Montreal. It has a lot of shops ranging from pasta, pizza, bakeries, coffee shops, cheese stores, flowery shops, vegetable, fruits, honey, you name it. …",None
30,Andrew Tan,5,2023-02-07,"A great outdoor market with so many amazing things to eat and see!

Was recommended to come here by a friend and such an awesome spot for food and …",None
31,Diane S,5,2023-04-08,I've been going forever.  I love the addition of the food stalls and specialty stores. Definitely a must while you're there.,None
