ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Achyut Adhhikari,4,2023-06-08,"It is as beautiful as it was mentioned by the people. Not only kids but the youngsters, youths, adults and even the elderly people can also enjoy various activities and events here. It’s only the place where the fireworks 💥 in Montreal …",None
2,Janet Lee,3,2023-06-15,"I had high hopes for La Ronde but coming from Canadas Wonderland, it just doesn’t compare. …",None
3,David Martinek,3,2023-06-06,"My 7-year-old son and I just came back from a fun day at La Ronde.

The Good: …",We appreciate you taking the time to share your feedback. Thank you for visiting!
4,Mtlkiller,1,2022-11-08,"My daughter and I had a terrible time at laronde, i purchased tickets for frightfest online for my Daughter and I, thinking it would be fun to take here to laronde. Little did I know what was instore for us. We arrived at the amusement park …","Hi Mtlkiller, we are sorry for any disappointment caused. We hope to have the opportunity to welcome you back into our parks. If you could please send an email to vipsupport@sixflags.com, an expert Support Agent is ready to assist you quickly with your concern."
5,Nga Duong,3,2022-08-10,"This place would be really cool for you if you are super into roller coasters, there are a bunch of them here. However, as a theme park, it is honestly mediocre. It is pretty old and if you just want some fun rides, there are not many of …",None
6,Nana Potenza,4,2023-03-08,"I don’t love heights and this wasn’t too bad for me. The ride was smooth and the wheel looked cool lit up at night. The view isn’t too amazing, but it gave us something to do. You go around 4 times, which was one too many for me. Visited in …",Thank you for your kind comments about our staff. We will pass them along to the team. Come see us again soon!
7,David Liu,5,2022-07-06,"One of my favorite place to be during summer. If you have a season pass, then end of May and early June is best time to come since kids are still in school and there’s almost no line. When the real summer comes, the lines can even be over …","So glad you had a great experience, David. Scare you soon!"
8,Lutthanee Sattharatanatri,5,2023-06-06,"We bought season pass for all the familly members and visited on the 2nd Day of May2023, on 22nd day, monorail dismantled and Ferris wheel not in activity yet, kids theatre also not opened, great time on the water raft, children enjoyed but …",Really glad you had a positive experience. Thanks for reviewing. Hope to see you again in the near future!
9,Benjamin Reigner (Breigner01),5,2023-06-29,"This is a really nice amusement park, it has quite a few thrill rides and not that many chill ones so if you don't like thrill rides you may end up going to the same rides over and over. …",Thanks so much for the kind words. Hope to see you again soon!
10,Mario AAG,5,2023-06-15,"Great park! Loved most attractions my favorite was Vampire.
My recommendations:
- Go early the park opens at 10:30 be there at that time. …",Thanks for taking time out of your day to review us. Hope to see you again soon!
11,Rachelle Whissell,1,2023-06-06,"Being escorted out of La Ronde for a friend smoking a cigarette in the wrong spot.. went from them telling him to get out to threatening to take him out, lead us to a back alley way locked us out by a gate, though 7/8 of us did absolutely …",None
12,French M.,4,2023-06-29,"Decent thrill park. That said, it's sad that they closed several iconic rides. Theming has took a hit since acquired by six flags. On the bright side, they brought with them their six flags expertise which made this a recommendation. If you're anywhere near it, I would highly recommend the visit.",None
13,Colton Taylor,1,2023-06-30,"This being my first time to La Ronde, and any Six Flags park, I must admit that I was very disappointed. Drove here from Nova Scotia specifically for the Fireworks competition, and that was canceled. Not mad at that, as I know it was beyond …",None
14,604 Eats,5,2022-08-10,Alot of rides available and we lucked out that it wasn't busy on the weekend during the summer.  We didn't really have to wait too long on any of the rides.  They have a very nice selection and it's very spacious and nice by the water.  Would definitely come here again.,Thank you for the review. Hope you have an amazing day!
