ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,N R,5,2023-06-06,"Nice farmers market selling fresh fruits and vegetables. They also have butcher shop, bakery and cheese shop in the market. We also enjoyed some gelato in the hot weather. Theres a food court that offers variety of things. Overall great experience.",None
2,Alice Lin,5,2023-05-07,"You can find many fresh fruits, seafood and meats, or great flower. Even tho the prices are a bit higher but they really have great quality than in the supermarket. And when you walked tired, there is a pizza place, such I place and a bakery.",None
3,Neki Cakes,5,2023-06-06,"I am born n raised in this beautiful city, Marché Atwater is a HOT SPOT for Top Quality foods/drinks. You won’t be disappointed, family/single friendly even pets, people are kind. Come visit!",None
4,Han Stw,5,2023-05-07,"Nice farmer’s market in Montreal! There are a lot of vendors selling fresh fruits, vegetables, meat, fish, cheese and so many others! The prices were good given the high quality of the products. The market is also located next to a river so it was relaxing to be able to stroll around outside. Onsite parking also available",Thank you for your comment!
5,Chuong Nguyen,5,2023-06-06,"A lot of merchants under the same roof. You can buy freshly homemade pies, all kind of flowers and herbs shops during the summer. Maple syrup products from differents stalls. A Premiere Moisson bakery shop with places to sit down to eat a …",None
6,Nikita Rybkin,5,2022-11-08,"A lot of fruits, meat, other delicious and usually not that pricey things. Strongly recommend even for just tourists",None
7,waanaabe -,2,2023-06-30,"Pretty, varied, aromatic... BUT SO EXPENSIVE! Prepare to salivate but leave frustrated. It would seems that  reviewers have all been to the same place alright... but also on the same budget! …",None
8,Alice H,5,2023-04-07,"Adorable neighbourhood farmers market. Especially in the summer, with awesome outdoor booths. Perfect place for groceries, date and family gathering. …",None
9,J Mikhael,5,2023-06-06,"Great place .
Clean .
Pleasant employees / Owners . …",None
10,Saurin Mehta,5,2022-07-06,"Yet another gem in Montreal's Saint Henri neighborhood, steps from Lionel-Groulx subway stop and right on Lachine Canal, this all year farmers market on different end of the city is bountiful of fresh food, produce, meats, cheeses, …",None
11,Donna Neftin,5,2023-04-07,I love the Atwater market. I always checkout La douceur de marche for specialty foods and seasonings and all the veggie and fruit vendors. There is also a great cheese selection in one of the stores. You got everything you could possibly want at this market! Love the colourful vibe here.,None
12,Catharine River-Rain,5,2023-05-07,Its beautifully laid out  and packed with fresh produce meats cheese olive oil chocolate bakeries and flowers. Outside ita great to sit or walk along the canal,Thank you for your comment!
13,Mike,5,2022-11-08,One of the coolest markets I’ve been to and something Montreal is and should be proud of. So many vendors inside and out with amazing products. It’s a very high end area and it’s amazing but the prices seem very affordable for most things. Highly recommend stopping by here for groceries or even just a cafe!,None
14,Maryam Hedayatnejad,5,2023-03-08,"Whatever you need are here! Fresh fruits and vegetables, cheese, meat and chocolate. There are some butcheries with variety of lamb, pork or chicken meat (plain or marinated)and a bakery that you can buy cooking of the day bread there.",None
15,Rokeya Chowdhury,5,2023-06-06,"Great area! Spacious market with expedient parking. Variety of options for food. Rich collection of plants, seasonal flowers, herbs and vegetables  at affordable price. More succulents and potteries collection would be a great addition. Ideal to spend time with family and friends!",None
16,Jimmy John,5,2023-06-06,Cool spot to grab food and had a farmer's market behind,None
17,Nasim Bahramifarid,5,2022-11-08,Love this place!! ❤️ Stumbled upon it by accident while roaming around. It's its own little world. A big fresh farmers' market with so many quality items. Beautiful to explore. Friendly service,None
18,Clint Kanester,5,2023-04-07,Great market!!!  Reminded me of Granville Island.  Wish we had discovered it earlier in our trip!!,None
19,B Joseph,4,2022-11-08,"Beautiful market full of interesting foods.  The maple syrup is reasonable.   Wish I could have bought more things,  but going back to Ottawa.  A good selection of cheese, meats,  maple syrup and honey.   There is a chocolatier there that make small disks of chocolate with a thin layer of maple syrup...to die for.  Enjoy!",None
20,Gökay Zeren,5,2023-05-07,A lot of great stores and farmers' stands. Highly recommend,None
21,79 EDM,4,2023-06-06,Atwater market is a decent nice market and Its close to the metro and downtown which is good. …,None
22,Audrey Franklin,5,2023-03-08,"One of the most interesting marketplaces I've been to, and Montreal should be proud of it. There are a tonne of wonderful sellers both inside and outside. Although it is in a highly affluent location, the prices for the majority of items …",None
23,Suki Dakara Suki,5,2023-02-06,The best market in Montreal. You will always find some rare fresh fruits and vegetables in here. The food in general were a little pricey but it worths to try it out from the local farms.,None
24,Sylvia,5,2023-05-07,"I love going there and love the atmosphere. I have my favorite shops and a special place to buy my 🍯 honey. As I'm always there early, I never have to wait long and can also enjoy my Espresso and Croissant where they roast their own ☕ coffee. …",Thank you for your comment!
25,leto BG,5,2022-07-06,Excellent downtown market with very fresh produce cheese pastry and all sort of things. It's too bad that not all tourists are aware of this market as establishment like this one are not available in many many North American cities. This is very compatible to the St Lawrence market in Toronto on slightly smaller scale.,None
26,Filipe Pedrosa,5,2023-03-08,Nice market with very good variety of fruits and vegetables.,None
27,Maciek Piskorz,2,2023-06-06,"I really want to like it, but you can’t trust the produce suppliers. You recognize the labels and boxes from Costco, only displayed more nicely and for 3-4 times the price. Plants from the same distributors as IKEA, once again with a …",None
