ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Terry Chu,5,2023-03-08,"One of the top universities in the world. Located by the hills of Mount Royal, the landmark of Montreal, McGill enjoys the advantages of mountain views as well as the convenience of downtown life. It’s located in the financial district. It’s amazing to see how many buildings are there in the campus. Students here are really smart and creative. It’s pleasant to be a student studying in this vibrant campus. Across from the campus main entrance, there is a wonderful church People’s church for students and faculties to enjoy Christian life and fellowship.",None
2,Ryder B.,4,2023-06-06,"Gorgeous campus. Each building has its own unique character to it. I did my undergrad here and had an amazing experience. I met many great people from different walks of life. It is definitely a rigorous academic environment but I was pleased to see that professors were always available and willing to help (at least in my Faculty). Some of the classrooms are a bit small for the number of students in them and getting around the campus in the first year was tough, but you get used to it. The worst part is the climb up the Education hill. Unfortunately, the pathways on the campus are not salted properly during the winter months which can pose a challenge as you navigate between buildings. Most of McGill’s facilities are modern and welcoming and never had problems with administration. Excellent location too as it is downtown and many stores and restaurants nearby.",None
3,Naomi Braude,5,2023-06-06,"Great university! So proud to have received my degree from such a prestigious university, in the most beautiful city in North America. McGill educates some of the kindest, most hard-working students. The faculty are amazing. I miss my days at McGill. The Canadian education system is world-class!",None
4,Kent Zheng,5,2022-09-09,"Very cool university! Perfect location. Classic-looking buildings with modern equipment inside. Visited a chemistry lab - nicely organized. Also the book store is good, bought a couple souvenirs. Parking is expensive tho on Rue University.",None
5,Jessica Sun,5,2022-07-06,"The campus is so gorgeous, especially on a sunny day! We came on a Sunday so a lot of the buildings were closed, but we were still able to enjoy the architecture from the outside, as well as take a look in the Redpath Library.",None
6,Benyamin Feghhi,4,2023-06-06,"Been a student for a while and I can say they do accommodate for travel within campus even in winter when it’s the most slippery due to snow. However, there is no reason why any body would come here for a walk or cycling. It’s not really a park or a tourist attraction. If you want to walk( walk in saint Catherine). If you want to cycle( cycle in Maisoneuf). If you come because your asked to, It is a pleasant place and you wouldn’t be bother with being technically in an institution.",None
7,Bantu Tv,5,2023-06-08,"Excellent place to chill, relax, watch games and sleep room VIP availability, including Music Studio session recording.
Room for rent, bed, and breakfast type hospitality.

The GRAVITY Offering and introduces great Southern hospitality from ATLANTA, GA in The Congo Kinshasa",None
8,Luis Daniel,3,2022-09-09,Nice University but its way too cold in Montreal most of the year to enjoy yourself and have fun. As a result most kids end up staying indoors too much. There is something off with this university despite it being called the Harvard of Canada.,None
9,Vee Dinh,4,2021-07-06,"This school is huge and beautiful. It was so enjoyable walking around the campus. There was not a lot students when I visited but sometimes, there were still students running to class or biking around. So photogenic at the same time.",None
10,Vikram Karandikar,5,2020-07-06,must visit in Montreal. Do visit the museum which is right inside the university campus and it's free but give some (voluntary) donations to keep it running. museum easily takes 2 hours to see all the exhibits. very clean campus.,None
11,Guilherme D. Garcia,5,2018-07-07,"Spent five years here and had a fantastic time—stressful at times, of course. Great professors, hard-working students, and a tight community. Lovely campus in the heart of Montreal.",None
12,Brian Smith,5,2023-04-07,"SPECTACULAR UNDERGRADUATE SCIENCE POSTER SHOWCASE: Office of Science Education Annual event presenting undergraduate student research. Lively discussion, palpable enthusiasm and energy from young scientists taking control of their own education. Courageous, assertive, go-getters spreading the message that they are a force in society. Bravo!",None
13,Guilherme Cavalcante,5,2022-07-06,What a gorgeous campus! And just to make it better you can access Mont Royal Park through the campus,None
14,Rafael Carvajal,5,2022-12-08,"Very beautiful compu's buildings. Art Deco, neo gothic and brutality style you can enjoy watching",None
15,Alejandro Treviño,5,2019-07-07,"I came here as an exchange student and it was one of the best decisions I’ve ever made. I enjoyed having class with local and more international students. McGill is a very competitive university not only in Canada, but it’s considered as one of the top 50 universities worldwide.",None
16,Christopher Lee,5,2022-07-06,"Excellent campus!!! I found one squarrel . it was  amazing!

I visited McGill university with the daughter, Jenny. She decided to go to the university in order to study biology in the hstoric school. She might be in the BK study cafe in this time to achieve the goal.",None
17,Mahnaz Mirkhond-Chegini,5,2023-01-07,Best university for all disciplines with proficient professors and staff all around! Active student leadership opportunities and many research endeavors present. I am a McGill Alumni myself and can only say studying here was life altering.,None
18,Brendan Pidgeon,5,2018-07-07,"I loved my time at this school. The facilities are fantastic, the people world class and the teachers really dedicated to what they do, even in classes that sometimes have an exceptionally large catchment.

This school gave me all the tools I needed in my undergrad to follow on to professional degrees and would definitely recommend it to anyone who is considering a Canadian university.",None
19,Andi,4,2022-11-08,I completed my bachelor's here around 2020. It is a great educational institution and I enjoyed my journey. Sometimes too woke and politically correct which is a nuisance to academic freedom. But I understand they have no choice. Overall I still think it is the best university in Quebec for most programs.,None
20,Alexander Winter,5,2023-05-07,"Greatest university in Canada! Formidable experiences, great professors and gorgeous campus.",None
21,Mazin Dhaif,5,2019-07-07,"This is part of Montreal walking tour that I personally designed for myself to get acquainted with everything in Montreal. McGill is Harvard of Canada and ranked from the top 20 universities worldwide. The campus is amazing and may be deemed as part of your sightseeing.  I strongly recommend that you do walk in the campus. Next to the campus, Saint Catherine St which is a major high street in Montreal. Take advantage of this.",None
22,Janette Thompson,5,2023-06-06,Beautiful campus and glad I did my undergrad here,None
23,kunal rakshit,5,2019-07-07,Great Place for everyone. You have one of the best university of Canada in front of you.,None
24,Richard Schagrin,4,2018-07-07,"Great Setting
Canada's most respected and famous University. Located right in the city on a beautiful campus.

Old with a lot of charm.",None
25,Louise Kennelly,5,2023-03-08,Looking forward to visiting for a tour. Highly recommended education by friends who have attended.,None
26,Jamie Teeple,5,2022-09-09,"Attended McGill ‘04-‘08. At risk of sounding sanguine, the institution transcends ratings. It provided me the most formative and memorable social and academic experiences of my life. I wouldn’t trade my tenure there for anything in the world. If you’re a prospective student seeking an institution that will enlighten and challenge you, look no further than McGill.",None
27,mustaqeem rahman,2,2023-03-08,I hate studying here. you have to sell your soul and study day and night to do well here. shouldn't have come to Mcgill. beautiful campus tho,None
28,Yas,5,2021-07-06,"McGill is great! I had my best memories in this school. Lovely architecture, lovely staff and lovely multicultural environment.",None
29,StrawChain pro,1,2022-12-08,"I wanted to register in this university,  but after that I found out that the administration and directors of this university do nothing against the person as Sorush  Shahriari,  who actually make the speech how Iranian protestors should be killed,  I want nothing to do with this place like yours!! I rather invest my money in another university,  where people and students life does mette no meter where they are and where they from!! Shame on you administration of this university!!!",None
30,HY LEE,4,2022-07-06,Beautiful campus. Wish I studied here.,None
31,Vasily R,5,2022-07-06,"Great school where I got a degree that helped me work at top tech companies. Professors can be bad with a cushy tenure and teaching for them is just a nuisance, but they have a good network of volunteering tutors, mental help programs, scholarships, etc to help you get through college. Lots of events and parties to be found, both official ones and not. Depending on the faculty, people can get pretty competitive and not share notes etc so it’s very much a clique-based group study environment. Better become friends with the right people!

Student run societies can be disorganized and often things get pretty political, but the overall culture is that of excellence and this college really helped me “learn how to learn”.

Cafeterias are pretty overpriced but coffee shop in Adams is good. Hunt for those samosa sales. They’re addictive!

I gladly donate to my department almost every year, but their calls can start getting a bit annoying, especially when they call multiple times a year to ask for money.

With all that said, I would come back here and do it all over again if I had a Time Machine!",None
32,Patrick Master,1,2023-06-08,Racist university that does not prioritize competence but the diversity cult,None
33,Jianfang Liu,5,2017-07-07,"Lovely campus! I'd love to study here, if I were younger.",None
34,Murat Uyar,5,2022-07-06,Very good university top ranked in the country. Campus is very nice. It is right in the city but behind of the campus there is Mont Royal which you can go and have a walk between classes.,None
35,jamestremblay111,1,2022-07-06,"This university has a lot of money so they have very nice looking building, but really it is all they have. The professoral quality is awful, the prices are higher than other universities for no good reason other than being a ""world"" university"", a reputation it maintains thanks to money.

If you really value knowledge over credentials, then McGill is not the university for you.",None
36,Nikko Ong,5,2022-07-06,"You can get degrees here, and you can also make friends. Great place to go if you want to learn. Best bathrooms are probably not in the engineering buildings.",None
37,Oliver,2,2022-07-06,"The school likes to pretend it‘s the Yale or Harvard of Canada but it’s nowhere close, has far too much prestige and deserves none of it. Classes with shallow material. No student support (if there is any, it’s very, very unaccessible - good luck being able to make any appointment ever). Disinterested and tired professors with a lack of energy. You can get more value for the tuition paid here through YouTube videos, masterclasses, almost any other form of learning that actually tries to grab the viewer’s attention and teach something meaningfully. Here, the professors do not seem to feel like they even need to try. Very poor on-campus atmosphere as students are miserable and confused due to the lack of support during difficult times. It was a big mistake to come here rather than go to the US; the only good decision was leaving before it was too late.",None
38,Etienne Champanhet,1,2022-07-06,"Canada. Oh Canada. One of the most heavily marketed countries in the world. When you research Canada you are marketed one of the most “beautiful” and “welcoming” countries in the world. It couldn’t be further from the truth. When my wife and I graduated high school we decided to move to Canada to start our lives and we couldn’t think of a better place to call home. We imagined our lives were going to finally be established - after uni, we would find jobs there, buy a home and start a family.
How wrong we were.
Canada is a complete farce. For international residents, it’s almost impossible to integrate - socially, culturally and practically. Despite being extremely financially well off and stable(over a million in investments), we were unable to even get a mortgage when attempting to purchase property because of our ‘international’ status. Attempting to get a permanent residence cost money, time, stress and would’ve required us to move away from the semi-home we established. With our international status, we were forced to pay ridiculously high amounts of tuition - which then couldn’t be put to good use afterwards, since it was difficult to find decent jobs that didn’t prioritize local residents. Furthermore, as good tax paying residents - we got terrible service. Poor health care, and absolutely ZERO infrastructure. The infrastructure is an absolute joke. It’s none existent. Travel is an absolute no go in Canada because any domestic flight will cost you upwards of 400 per person. Which makes sense when you take into account how massive Canada is with a population smaller then Californias. But since then my wife and I have relocated to The Netherlands and we couldn’t be happier. We got approved for a mortgage within 4 months of living here, and everything just makes sense here. The government really do care about there citizens and your tax money actually brings you somewhere. Be cautions of all the great reviews you read about living in Canada online, because most of them are most probably fake. Canada NEEDS immigrants and those universities are a money making business that will go to any length to get you to pay them money. Even if it means paying people in less wealthy countries to flood the internet with positive reviews about Canada.",None
39,Marie McJilton,2,2022-08-10,"We kept looking for the ""hogwarts"" feeling vibe but either we didn't look in the right place or our sources were being generous. The small campus is rather hilly and we weren't that motivated. As a tourist,  i wish we had skipped this destination.",None
40,Peyman Nazem,1,2022-11-08,"This university supports its lecturer named “Soroush Shahriari, wich publicly asked IRGC to kill women fighting for their rights in Iran and refuses to fire him.

McGill lecturer's tweet calling execution of Iranian protesters 'heartwarming'",None
41,DMichaud,1,2023-06-08,Don't try to get hired here if you are a white male.,None
42,Shirin Ba,1,2022-11-08,Listing a professor-soroosh Shahriari-just up to a couple of days ago who was demanding for mass execution of peaceful protestors by refering to 1980's mass massacre of political detainees in Iran says a about the level of ethic of this university. Just mind you there is already one official that being tried and sensenced for this crime in Sweden-Hamid Nouri-. Praising and damanding for a war crime to be repeated again is not freedom of speach.,None
43,Monish Anand,1,2022-07-06,"How can someone rank this university so high when I could just see the way they play with students' life, and waste their time. Zero value. This university has taken already 5 months and still hasn't given the decision of application. Pathetic. I would give it a zero if I could. No matter how beautiful the University is respect students. Without them you are nothing.",None
44,Natalia Korobenko,5,2017-07-07,Nice place to walk around with beautiful views and amazing heritage buildings!,None
45,79 EDM,3,2022-07-06,"The Univeersity of McGill looks and feels like a beautiful university.

The Univetsity does have a lot of Green Space and trees and they should continue to plant more trees and have parks and Green spaces for the city. It feels nice to visit especially since it located right into the heart of the city and you feel and see students from all over the world.

What I heard from former and current students is that it is a difficult university to get into.  Of course the Marks are stricter and levels are above average and you need to meet their expectations. So for sure is is like the Oxford University of the country.

They also have good and great vocational and certificate programs if they interest you as well.

The library there is nice as well. A little bit rundowned and old. When I Visited.  They need to renovate as well. As soon as they get the chance.

Of course Concordia is easier to get into if the programs you are applying for is similar but there are programs that are not avaible at McGill and Vice Versa. It is a prestigious university so that is why it is ranked in the Top 50.

Hope this University becomes an Environmentally sustainable university. Zero Waste, Carbon Zero, Zero Greenhouse emissions and Reduce their pollution or emit less. Also all their buildings should be leed Platium or Gold so that it is adaptable to climate change.

In my books it is a nice university and all alumni and former students  who studied there should have the privilege to be apart of the Univeristy.

At the end of the day it does not matter. All students and staff need to respect themselves and vice versa so that we can make a change for the better of the human kind with the education and services you receive from McGill University.",None
46,Doug Campbell,5,2019-07-07,"Very strong university.

The philosophy department offers a great selection of classes with outstanding professors.

The campus is beautiful, especially in the summer time. A really photogenic place!

Most of the buildings are nice, with good restaurants and clubs throughout the campus. There’s a social aspect of McGill that is as compelling as the education.",None
47,Yi Fan Sun,2,2021-07-06,Excellent school and beautiful landscape but very poor student services especially for mental support. Was needing help with my mental health after being mugged near my res but was pushed around the system for a while before finally being able to see a psychiatrist. Who never even looked at me directly while we had our sessions and merely sent me off with a prescription for anti-depressant. I was struggling with going to classes because I was extremely anxious about going outside. I take my part of responsibility for dropping out in 2013 but throughput my time in McGill I felt so very unsupported and alone.,None
48,Vicky B,1,2023-02-06,Absolutely Not The Safe Space They Pretend To Be. No Academic Freedom.,None
49,Anatole Debierre,5,2023-06-06,i love the campus (+the friendly squirrels),None
50,Jonathan Li On Wing,5,2021-07-06,"Good university with a great international reputation. Great professors and lecturers.

The campus is beautiful, especially with the architecture. It is also conveniently situated in downtown Montreal, walking distance to Peel and McGill metro stations.",None
51,Pavel Janowitz,5,2021-07-06,"I graduated. I loved it my undergraduate experience. The campus is in my neighborhood, I enjoy walking my dog up and down in between buildings. In winter there's a lot more snow, so beware the boots that you wear.",None
52,Shawn Dutti,3,2022-07-06,"ok ok university in ""other"" faculties but  its exceptional in medicine and law as university. Overall small campus, love the atmosphere around the campus. If you are in medicine or law, great for you, the funding in those faculties are exceptional, if you are the unlucky in the ""rest"" of faculties, good luck as the administration does not actually fund it as well as its should, thus somewhat ok result and faculty resources available at your disposable, compare to business universities or art based universities. good luck to the unlucky few!!!",None
53,Diana P,5,2023-01-07,does someone know what do i have to do to study medicine if i’m a mexican student?,None
54,Thomas Wiker,5,2022-07-06,When I was up for the Canadian grand prix was over at a couple places stopped by to see the college then went over to La Rond as well as the underground city. And for those who think it's not warm in Canada it was hot,None
55,Simon Sebastian,1,2022-11-08,This school is supporting genocidal comments by Soroosh Shahriari. He is asking for execution of Iranian protestors by the Islamic government. He and all school officials who are supporting him should be terminated immediately.,None
56,adebisi azeez,5,2023-06-06,"Fantastic, i wish to be one of the students soon.",None
