ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Mr. Martin,5,2022-10-09,"This church is an architectural masterpiece!
Whether you are religious or not, as long as you appreciate history and architecture, you will enjoy your visit. …",None
2,Deepak Yeshwanth Saibaba,5,2023-06-06,"What a stunningly beautiful place! From the moment I stepped inside, I was struck by the sheer grandeur of the space. The soaring ceilings, intricate stained glass windows, and ornate details were truly awe-inspiring. …",None
3,Kandasamy Dineshkaran,5,2023-06-06,"I recently visited the Notre-Dame Basilica of Montreal and was absolutely mesmerized by its beauty and grandeur. The moment I stepped inside, I was greeted by a breathtaking sight of magnificent architecture and stunning stained glass …",None
4,Donny S,5,2023-06-29,Great experience. I'm glad we took the time to go in and admire the place. This is also an active church so obey the signage and I'd suggest showing care and respect as you admire the architecture and paintings. There are sections that are blocked with signage asking for no photos.,None
5,N. V.,3,2023-06-06,I loved seeing this Basilica and if it was just a building I'd be ok with paying a fee to enter it but sadly they also make those who want to PRAY pay. Even to light a candle. That I don't agree with it. The building itself is in great …,None
6,Connie H,5,2023-06-06,"This Basilica is breathtaking.  I go to see these places for their religious value, and am blessed with the ""beauty beyond compare"" experience.  The architectural and historical value are phenomenal.  I chose not to buy the guided tour, but …",None
7,Ayyappasamy Sudalaiyadum Perumal,5,2023-06-22,"Reserve your tickets. Wear a Mark if you want to as the place will be packed quite. It's a 25 minutes to 30 minutes show. Middle seatings are is the best.  Too front not that great, too far not that great. Come early in the queue if you want to choose your spot lavishly.",None
8,Pratik S,5,2023-06-08,This is the best place to visit in Montreal. I like the magnificent architecture of the place. This place is so peaceful and magical. Tickets are are pricey even though it is Canadian dollars 🤓 …,None
9,D Kennedy,5,2023-06-22,"Absolutely stunning and well worth your time. I literally had tears spring in my eyes on entry. The artwork, the sculptures...just beautiful. We were lucky enough to be there as a choir began. Beautiful.",None
10,SA Reviews,5,2023-06-06,"We're there for the 7pm show on a Saturday. We lined up around 6:30pm, the line started moving around 6:45pm. The staff scanned our QR codes at the entrance. When we first entered the basilica, it was pitch dark in there with only candle …",None
11,Diya Dinesh,5,2023-06-29,It's such a beautiful place. There are a lot of paintings and architecture. It's amazing that this was built 194 years ago.  It was 28 dollars per family. I would recommend the Notre-Dame Basillica of Montreal to everyone.,None
12,Mark Shibish,5,2023-06-06,It was a great experience and having the opportunity to tour through each designed and decorated area made the experience more spiritually moving. They offer Bilingual presentations which is great for visitors. Definitely a must to visit …,None
13,Nhazarr,5,2023-06-06,"It’s such a beautiful sight to behold. The architecture, design and details are  amazing. Went there on Saturday evening and unfortunately couldn’t get in because it was already booked for a wedding hence it was closed to tourist. Luckily, …",None
14,Albin Thottiyil,2,2023-06-22,Great workmanship but the energy inside is very low and you will feel drained by the time you come outside. Nothing much to see other than the inside of the cathedral. No guided tours. People walking aimlessly.,None
15,Adeel Barki (Adeel Ahmed Khan),5,2023-05-07,One of the best light show. Lot of work is done on this and it was very impressive. We book the tickets in advance and it was worth watching it. If visiting Montreal one should not miss this. Good for families. It is very crowded so remember to come early to sit on the seats you desire.,None
16,Chuong Nguyen,5,2023-05-07,"The mind blowing Gothic architecture is magnificent. The place is still quiet despite the large crowd. A good place for prayer and spiritual meditation. I'm glad that they decided to remove the entrance fees, it's even more worth a visit now.",None
17,Chau Pham,5,2023-06-29,"A must-visit for lovers of architecture. The grandeur and intricate details inside will leave you in awe. Whether you're religious or not, the basilica's beauty is captivating and worth experiencing firsthand.",None
18,Lina McDermott,5,2023-05-07,"Absolutely beautiful. Worth going if you can make it during their hours. I didn't get to stay for it but at night they have a light show. Once you're in, you're in. You can buy tickets online or at the time you walk in. They also offer group tours",None
19,Gaurav Khatiwada,5,2023-05-07,One of the most visited monuments of the North America it is estimated that every year eleven million people visit this place. It feels like we are walking inside the real canvas. Majestic and grand that’s how I can describe this place. If …,None
20,Paul Jonker,4,2023-06-22,"Amazing architecture in this building. It was a bit weird to be wandering around taking pictures while people were in the pews, but after paying to get in, ($15 per adult) I felt like it was ok.",None
21,K B,5,2023-04-07,"The most beautiful church I have ever been to. The architecture and hand carved stair case was magnificent, photos don’t do it justice.  We also attending the Aura in the evening, and we were blown away, by the beauty of the show. It gave us goose bumps and left us speechless. What a gorgeous piece of time.",None
22,Reyanna Nicolas (Reyanna),5,2023-04-07,"This place is beautiful and serene. Even though there is a lot of people that tours the whole place, everyone stays quiet and pays respect. Such a mesmerizing architecture. 🤯 We wanted to try the Aura Experience but on the day visited the …",None
23,Tejas Kanitkar,5,2023-06-29,"The most beautiful church I have ever been to. Do make sure to attend the Aura show, it’s so worth it and beautiful.",None
24,TJ Fajardo,5,2023-06-06,Beautiful church in the heart of Montreal. I recommend buying tickets the day before or early as you can go back multiple times that day to make it worth the cost $15 per adult. At 1:30 Wed-Fri they play the organ it's amazing.,None
25,Daniel Kor,5,2023-06-06,"Basilicas don’t appear often in your lifetime, seize the opportunity when its present so you can brag to your friends that you’ve been to one. …",None
26,Brian Stallings,5,2023-06-06,"We attended the light show. Greatly exceeded expectations!  High quality production, on level with the Disney laser light show. Spectacular cathedral. Arrive early for best seats, the cathedral was packed.",None
27,Sarah Nguyen,5,2023-06-15,"Fun and lively courtyard at Notre Dame - lots of hustle- bustle and great people watching. Musicians displaying their craft, group tours, friends reuniting, families smiling. I enjoyed just being present.",None
28,Abhishek Nagda,2,2023-06-06,"It is decent. There's no guide or anything more written about the history of that church. It's just that 1 big room, which doesn't seem worth 15 dollars per person. The first floor and second floor is closed but looks good in view. The …",None
29,Andree Garant,5,2023-06-06,"Absolutely gorgeous cathedral! Take the time to observe all the over the top decorative elements, light a candle, you can even get a candle lit on your behalf online!",None
30,Débora Ouattara,5,2022-11-08,Beautiful place. It was a beautiful sunshiny day. We decided to just enjoy the surrounding as the fee to visit inside was a bit pricy for our family of 6.,None
31,Amogh Joglekar,5,2023-06-06,"Astounded, speechless and in awe are some of the few words I could use to describe Notre-Dame Basilica. …",None
