ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Queen Rahaman,5,2023-06-06,"I always have a great experience here whenever I have my nails done, great conversation, I feel comfortable and welcome and well taken care of. The employees are very gentle and sweet and they do such a great job, I always leave feeling confident.",None
2,Stef,2,2023-06-29,"I feel really bad leaving a negative review but I hated my experience. I wanted a refill and design, to start, I guess I had a new employee drilling literally down my nail. My refill felt like she was gonna take my whole nail off. I felt my actual nails burning. After that when she started filling… the acrylic was so poorly done I had to make her stop. Another lady came and helped, who knew what she was doing but she didn’t care about listening to me. Anyway.. after all that I thought ok whatever I’ll get the design I want and leave. Mind.. people are waiting… so my design didnt look right. I made comments about it but I guess all they care is.. suivant-next and getting paid. I know they are famous for their insta which is beautiful but I would definitely NOT be returning here. Plus the price was way too high for the service I got.","Hi Rebecca!
I’m so sorry for your first time experience at Holly. I’m Thanh the one did the design on your nails. I do care about you and willing to change your design or return your payment if you are not happy with the results and I would always tell you the price of the design before doing them.

In our place, we have all appointments clients, the clients was waiting because they came early….
Anyway I’m sorry for the uncomfortable feeling that you had and I wish you that I can do something to make you feel better ❤️
Call us again next week Rebecca!
With love💕 
Thanh."
3,Nad T,5,2022-07-06,I love this lovely cute nail salon. Amazing service and great prices! The owner listen to your requests and will fix if there's an issue without additional charge. She is very talented!,"🤩 Thank you Nadaine, I’m really appreciated your review… love love you 😘"
4,Sergio Carrascal,2,2023-06-06,"The place is good, the attention is good as well, however the prices are not the equal as my wife paid. Beware, that the price list offer some good prices but when you gonna pay the charge more than the list said.
I won't visit again and I will provide the review in social media.",None
5,Chiari Suarez,5,2022-07-06,"I am in LOVE with my new nails! They were so kind and gentle with my hands, and they make me feel super welcomed! I will for sure be going back, and i will recommend it to my friends because it really deserves the hype! 😻
Ps: It’s super affordable :) …","Thank you so much for your review Chiari! You are such a lovely client 😍
We’re looking forward to seeing you again."
6,natasha plaiche,5,2023-06-22,The best place I’ve been for nails!,None
7,Dominique Gautier,5,2022-07-06,"Alice is the best!! My nails lasted almost 4 weeks, and I probably could have kept them longer. They do things slightly differently than anywhere else I've ever been, and it shows in the outstanding quality of their services, whether it's something simple like I get, or complex designs like I've seen others get.",Thank you so much for taking the time to leave us a 5 star rating - it's much appreciated!
8,dominique nardolillo,5,2022-07-06,"I don't get my nails done very often, but after coming here, I think I will start to get them done more regularly! They are great wow what an experience! Such nice people, it was a pleasure to speak with them while getting my nails done. They were also experienced and paid close attention to detail to make sure they provided the best service that they could provide. I recommend this place 100%!","Thank you for your review Dominique 🥰.
Really appreciated."
9,Felix Aurélia,5,2022-07-06,"I had a gift card for my birthday and I have done a pedicure. It was a great experience and results are really good. Thanh, the owner takes her time while doing it which you feel relaxed. She is very friendly and professional. I strongly recommend this place.",Thanks so much for giving us your take on how we are doing Aurélie! We're glad that you are having a great experience at Nails & Beauty Holly. Hope to see you again soon 🥰
10,Mandy S,5,2022-07-06,"I do my nails occasionally and so far I got my best set and experience ever with my nails. The place is clean, quite and cozy. My lady was super awesome, she is amazing in her job and gave me the perfect set. As I mentioned already I do my nails occasionally and she educate me and gave friendly advise and her own opinion as well. Overall, I’m fully satisfied with the services. If you are looking for a perfect pair and a comfortable and friendly environment on the top, must visit. Thank you so much darling for your services.",Thank you so much for taking the time to leave an excellent rating. We really appreciate your review ♥️♥️♥️
