ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,David C. Gauthier,5,2023-06-07,"A very big and beautiful park with great views of the city and harbour. They've been making many renovations to update the park's infrastructure, buildings, and landscape features. …",None
2,Kathy Dorchak,4,2023-06-07,I had some trouble figuring out how to get here with all the construction.   The first parking lot I tried did not have a working parking payment station.  It was interesting once we got to the biosphere.  A short walk on the promenade got …,None
3,Sneha Sunil,5,2023-06-16,Visited this place on the way to biosphere. I'm so glad to have come here to watch the breathtaking sunset with my friend. It was so calm and peaceful. Good spot for fishing too!,None
4,Jani O,5,2023-06-30,"Had a pleasant bike ride through Parc Jean-Drapeau on a sunny day in early May 2023. Large multi purpose lush park with many venues, sculptures, commemorative monuments and a well maintained hike and bike trail. A metro station serves the park. Perfect place to spend a day in Montréal.",None
5,Karunya Rao,5,2023-06-07,"A lovely and lively place to be for the city's most exciting events. Just the weekend we were there, there was a eureka festival and an edm festival the day before. The biking in the grand prix circuit was also fun and surreal for my …",None
6,Fouad Mallouk,5,2023-06-23,"Great place for family, friends, events, music festival, sport events, etc. From Osheaga, to Grand-Prix festivities, to Piknic Electronik, they host them all.",None
7,Naima,1,2022-07-07,"Expensive Parking $8/hr $14 for 2 hrs
That is insane. Lack of signage, noise from the construction/renovations. Easy to get lost. Not worth it. I get more by walking to the Mont Royal & sit by the …",None
8,Annabelle Sammy,5,2023-06-07,"Jean drapeau park is a beautiful and accessible place for everyone to enjoy. There are lots of areas for picnics, a park, lots of trees and shade. As well it is accessible from the metro, by bus, by car (jacques Cartier bridge) or by water. …",None
9,Travel X,5,2023-02-07,So beautiful! It is even a dream especially in the snow. The place is not crowded in the winter and you can see Montreal vieux port from there. The best timing is going there after rush hour or before rush hour. It gets really heavy on the …,None
10,Dhananjay Narayan,5,2023-04-08,A very big park with good view points. Great to visit with friends and family. A peaceful place to have a good stroll. Very easily accessible by Jean Drapeau metro station.,None
11,Darren Tran,3,2023-01-08,Visited the biosphere. The structure itself is cool but the exhibits inside are nothing special. They might be interesting for kids however. The too floor of the biosphere features a cool longue area where you can get a 360° view of the sphere in a quiet and minimalist room with a few couches.  Not worth paying $22 in my opinion.,None
12,Elizabeth Martel,5,2023-02-07,"Skating ⛸️⛸️ conditions ❄️❄️were great and 🛷🛷 sliding was fun, just a free for all and not too steep, fire 🔥pits throughout came in very handy, great place to spend the day, they even have resto and super proper modern clean 🚻 🚻 bathrooms. …",None
13,Kshitiz Bhandari,5,2023-06-07,"A wonderful park for those who visit or live in Montreal.
Accessible through the metro. And an amazing place to bike/walk/skate around and watch beautiful sunsets and the Montreal skyline.",None
14,Marcelle Torres,5,2023-05-08,"Amazing place, with beautiful landscapes in a privileged view of Montreal from Ilé Saint Hélene. Perfect for riding a bike or skates.",None
15,Josette V.,5,2023-02-07,"First visit to Parc Jean Drapeau was spectacular during winter. Headed out for snowshoeing and there you can find maps posted and labeled with colored flags where you can find which trail you should be taking. I had fun walking outdoors, …",None
16,Vanessa Duarte,5,2023-06-23,It is a nice park. You have a pool. The metro arrived in the middle of the park. You ha e a beautiful view of Montreal. A lot of festivals are celebrated there during the summer. There's parking but going by metro is the easiest way,None
17,J K,5,2023-06-07,This park is really nice place for picnic and even it is connected to dieppe park just by bridge.,None
18,Nehme 25,5,2023-06-23,"Best music festivals happen there it’s a nice place close to the
Metro there’s a botanical garden take a look",None
19,Chris Mey,4,2023-06-30,"We enjoyed the thrill of the race, the atmosphere, but the seating is rock hard after an hour.",None
20,FrontWing-EndPlate,5,2023-06-30,Went here for the 2023 F1 grand prix at the legendary Gilles Villeneuve circuit,None
21,James Atoklo,4,2023-04-08,Been there twice with the Sunday school at my church and the kids love to go (went during the winter). Lots of open space and if you have your own ice skates and toboggan then the whole experience is virtually free 😂 …,None
22,Taha Ali Khan,5,2022-11-09,Really amazing view of the skyline of Montreal from this place. It's very peaceful and quite. It's easily accessible via the metro as well. Definitely one of the places you have to visit for those perfect Instagram moments!,None
23,Mike Contant,5,2022-09-10,"Visited recently to experience the Rammstein stadium tour. Entry took no more than 15 minutes. Huge space for well over 40,000 people. Parking was limited but if it's full, you can easily park off the island and take the metro. The cityscape as a backdrop was beautiful.",None
24,Danny A. Ignacio,4,2021-07-07,"Fun place to visit, I prefer to get around on a bicycle. It's a pretty good big place to walk around.
You can bring picnic and enjoy the view. …",None
