ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Amar Adiya,5,2023-06-06,"Parc La Fontaine in Montreal is a must-visit destination for anyone looking for a relaxing and enjoyable outdoor experience. This park is a safe haven for locals and tourists alike to gather, socialize, play sports, and relax on their own. …",None
2,Sandra Dominguez,4,2023-06-29,Nice park for a walk peaceful atmosphere.  Have skate park and areas for children.  Good park for family picnic.  Ample Parking available with self pay stations.  They do not have many restrooms.,None
3,Adam Bernard,5,2023-06-22,"The quintessential Montreal parc.

Stunning from end to end, and delightful every single day, in every single way. …",None
4,Lorena Haack,5,2023-06-06,"The park is beautiful, has a great space for barbecue and various physical activities.  It has a sand court for volleyball and footvolley.  It has tennis courts, good space for running and walking both in the surroundings and in the middle …",None
5,Elizabeth Martel,4,2023-05-07,"It's a great big parc to take a nice stroll through, new installations at play parc, a lot of fun to climb, however, there are no benches anywhere to sit on, you have to scrounge on the ground to watch your kid play, this is why I removed a …",None
6,Vigneshwaran Krishnamurthy,5,2023-06-06,"Very beautiful and serene park. It is pleasant for picnic and barbecues. In the heart of Montreal, this park is ideal for meet and greet with friends.",None
7,Sandeep Gopan,5,2023-06-06,The place is really nice. Good water front and nice place to have some good time.,None
8,Evil Matt (Metalfreak),5,2023-05-07,"Picknik-Friends & Familly  Unlimited Outside Cruise, Biking, running, walking fun loving Times of All sort doesn't matter what your looking for.
Thus is By far The Biggest and Greatest and Most Beautiful Historical Landscape Parc Spot You gotta stop And Visit All All year long folks 🌞🦋🌄🌲 …",None
9,A Farrow,5,2023-06-15,"Beautiful and expansive park, with lots to do and a great place to read or for picnics.",None
10,Julie Gowoon H,5,2023-06-06,"Perfect place for jogging and picnic. But also there's Tennis courts, ice skate link during winter, dog parks, parking, etc.",None
11,Ivonne OR,5,2022-10-09,"It's a big and beautiful park. There is a lot to do like running, bike riding, picnic areas and much more. I saw tenis courts, football fields, volley ball nets just to name a few. This park is my go-to during the summer very close to a few bus stops and 7 minute walk to from Metro Sherbrooke.",None
12,Ray Fang,3,2023-05-07,"Maybe I'm not here at the right season, but I found the park disappointing. Probably a nice place to enjoy the sun, dog run and a jog. But not much more...",None
13,Julie K,5,2023-06-06,Beautiful park! Great place to walk around or have a picnic.,None
14,chorchalvarez,4,2023-06-15,"A pretty nice place. If you like to walk you can get there by walking ,if not you have a metro station. It's a cool place to relax and rest your feet. Also you have certain actvities there. Sadly the ferry was off that day so i couldn't go back to the city trough the river.",None
15,Kelly Marin,5,2023-06-06,"Great park, lots to do. Nice to have a large area of nature in a big city. The kids loves the playground good for all ages 12 and under. There are hard courses and easier courses.",None
16,Nassim Najm,4,2022-10-09,Nice relaxing park. I enjoyed my walk around it. It can be cleaner and better maintained but still a nice place to visit.,None
17,Andy Luangrath,4,2023-06-15,"It's a great park at Plateau Mont-Royal, among the most popular judging by the amount of people resting there. There's a public restroom at the same building where there's the cafe. As for the scenery it's mostly grass with some trees, …",None
18,Mr Reviewer,5,2023-06-06,"This is a beautiful park to visit being you are from Montreal or out of town.

There is plenty of space to bring your family for a picnic, party or just a day …",None
19,Saumya yadav,4,2022-07-06,Visit this place in summer with your close ones. Had been here yesterday with friends. The place has really good vibes. People come here with family for picnic and with friends to enjoy the beautiful scenery.,None
20,Maurice Presser (Mo Reese),5,2023-03-08,"activities all year round, chalet, tall/ fat trees
summer: flowers, concert area, water, ducks + birds galore, picnics, lazy chairs, hill side grooving, exercise, baseball, petonk, sports sports sports …",None
21,Max Lett,5,2023-06-06,Absolutely beautiful park. I saw them filming Scream 6 around the larger pond which was full of ducks. I tried to get into one of the shots but was sideways tackled by two burly gaffers and dragged into the immaculately clean men's room …,None
22,Marcio Risso,5,2022-07-06,"The Park is gorgeous. It's a great place to be visited when in the neighboorhoud.
In the summer is a good option to do exercises, to go for a walk or just to rest and have fun.",None
23,Preeti Vyas,5,2018-07-07,Great place to spend a nice cosy sunny day. A lot of activities going on. You can join any group and can have fun. There is a lake in the middle of the park where you can often spot ducklings. Don't forget to take Frisbee or volleyball with you!,None
24,Adrian M,5,2020-07-06,"This is a casual, laid back park. There's plenty of greenery, fountains, a pond, and walk and cycle ways that make this a really worthwhile park to visit. …",None
