ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Katie Welter,5,2023-06-29,This Catholic church was amazing! The inside is very simple which some people feel is underwhelming but I actually really enjoyed that because it had significant things that stood out then. Like the stations or the 12 apostles. The outside …,None
2,Mona Almodwahi,5,2023-06-29,"The Montreal Saint Joseph Oratory is an amazing and impressive landmark a must to visit . So spectacular and spiritual place to visit, Remarkable architecture. First time I’ve visited this place and it’s not going to be the last I would …",None
3,sergio lopez,5,2023-06-29,"Beautiful experience while visiting the oratory, a very special place.  The views of the city are stunning and so is the garden which is important to advise you’ll have to walk up to admire.  We only did a portion of the garden. …",None
4,Alex K,4,2023-05-07,"The building is truly impressive and commands attention from its perch atop Mount Royal. From the outside, the architecture is grand and stately, making for an impressive sight to behold. And the view of the city from the top of the …",None
5,Alva,4,2023-06-29,"It quite good place to go to look for :)

If you have time, you could go there and go up to the highest dome to see the …",None
6,Ankit Trehan,5,2023-06-22,"Amazing place to go see the sunsets. One of the tallest churches in Canada. You can take a shuttle service for free to get to the top but remember last shuttle is at 8:45 pm. Very accessible inside with elevators, great architecture and …",None
7,Daniel Anastasov,5,2023-06-29,What else to say? It’s the biggest church in the whole Canada. It’s beautiful inside and out. The highlight is really the outdoor garden. Very beautiful and peaceful! …,None
8,Kandasamy Dineshkaran,5,2023-06-06,"The Montreal Saint Joseph Oratory is a captivating spiritual landmark that left me in awe. Nestled atop Mount Royal, it offers breathtaking panoramic views of the city. The grandeur of the basilica's architecture is truly remarkable, …",None
9,Jake Chen,5,2023-06-06,"What a modernist delight!! The church looks old-fashioned, but the inside had art deco style statues, windows, and cathedral ceilings all over. It's so unique that you wonder how did the church endorsed this modern design at a time church-values are preserved for two millennium. Fascinating and inspirational!",None
10,Biao Li,4,2023-06-29,A bit hard to get to with all the construction they have going on. The church is beautiful inside and it's completely free. A must if you're religious.,None
11,Sneha Sunil,4,2023-06-15,"An iconic landmark of montreal. The church is really huge. The park around there describes the story of Jesus. Watching the sunset in the stairs of the oratory is something you shouldn't miss. The observatory there shows the plateau region of montreal, it's an amazing view. You can even take a good stroll in the garden.",None
12,Dany Jay,5,2023-06-06,It's amazes me everytime I go. Great architecture and well maintained. Lots of new construction as of may 2023. Can wait to see when it's finished. The sunset view from the stairs is something to not miss. Definitely worth a visit.,None
13,Anjaly Pulickal Sajeevu,5,2023-05-07,St. Joseph's Oratory of Mount Royal is a magnificent and awe-inspiring place of worship that should be on the itinerary of anyone visiting Montreal. The oratory is located on the slopes of Mount Royal and offers stunning views of the city …,None
14,Brook Sternberg,5,2023-04-07,"I visited on 3/22/23. I was with a tour group, but if you go on your own it is FREE! Please go see this very amazing place. Totally worth your time. Drive to the top, there is parking up there. Otherwise the walk is very grueling. Brother …",None
15,Tim Sutton,5,2023-06-15,"It's the perfect place if you love history, religion, architecture, gardens and a city view. Saint Joseph's Oratory of Mount Royal is a Roman Catholic basilica and national shrine located at 3800 Queen Mary Road on Mount Royal's Westmount …",None
16,Joice Chen,5,2023-06-06,"it opens at 9: 00 pm, and you could enjoy the whole sunset from the church stairs. The church is impressive, due to construction, they have shuttle bus. Every 5 mins.",None
17,Mariya Dan Thomas,5,2023-06-22,"Such a huge church! There is a huge step entrance, but there is parking near the doors so that you don't have to walk a lot. There are a lot of interesting artifacts, and the facility is clean. Big gift shop with reasonably priced items. Staff is kind. Not too crowded, even on weekends. Good restaurants near me.",None
18,Lindsey Ross,4,2022-07-06,Interesting spot- Worth a visit if you have the time. It's by donation and relatively self guided. We wandered around and walked through the exhibits. …,None
19,Vitaliy Schafer,5,2023-06-29,"Highly recommend the visit. We spent over an hour. The exhibits, views, and gardens are something to behold.",None
20,Nika Niknam,5,2023-06-22,"Enjoy the beautiful sunset and sunrise with the beautiful architecture of the church. However you might get distracted by the long lasting construction site in front, still it's a place to chill you down a bit!",None
21,Cham P,5,2023-06-22,"This church ⛪️ is historical and is believed by many to have great miracles ✨️ 🙏 one of the oldest in Canada 🇨🇦 I guess, built in 1904 and the tallest church in Canada 🇨🇦, pipe organ is amazing, the spectacular view around the outside of the church is so great, one of the places you must go see and worth adding to your bucket 🪣 list 😀 …",None
22,Maria Mainart,5,2023-05-07,Stairs are under renovation and you gotta go up by shuttle (which takes donations) or just walk up the road. We happened to be there on Dimanche de Rameaux and they were getting ready for the 11am mess. It was very spiritual and beautiful. Gorgeous views of the city up there.,None
23,Fatima Barber,5,2023-02-06,"We went in December 2022 , They have shuttle bus to bring you up to the Church. It was frizzing day so thank God they have a transportation. The Basilica is pretty big very impressive you can burn candles and pray. Outside they have a beautiful view so you can take nice pictures. Inside is a lot to see. I enjoy it .",None
24,Mehroz Mahjabin,5,2023-06-06,"Great place. $5 parking, free shuttle that takes you to the church on the hill. A lot of people visits this place. Very friendly staff. When I went there was a lot of construction in the area.",None
25,Sreeja,5,2022-07-06,"This basilica has my heart!! Brace for a long review because I want to share my experience! Also, went during covid and on a Sunday so some things may be different depending on when you visit. So, right when you enter there is a parking lot …",None
26,Ranjitha Raghu,5,2023-03-08,We get to see spectacular view of Montreal city. This beautiful place is in a elevation to get a broader landscape view of the city. No entrance fee to be paid. There could be parking fee depending on the season. In winter we sometimes need to park down the hill and take the free shuttle to top of the mountain.,None
27,Richard Tsing Hum,4,2023-04-07,Beautiful building inside and outside situated on Mount Royal in Montreal.  Come when the sun is setting for a spectacular view in the evening.  Beautiful gardens surrounding the building as elk!,None
28,ChurchBoy,4,2023-05-07,"I would say this place has a huge resemblance to what Vatican city would offer but a smaller scale.
There's rich Catholic faith display in artifacts and souvenirs. This is a classic weave of modernity in history preservation.",None
29,Jeffrey Nguyen,5,2023-05-07,"Such a sacred and inspiring St Joseph Oratory Basilica the largest in the world to be there and self reflect, for anyone not necessarily of Christian faith! The preserved actual heart of Father André who envisioned the contruction, and his …",None
30,Benjamin Szweda,4,2023-06-06,Take the free shuttle from parking (5$) up to the church. While the area was crowded the Basilica itself was not. Various areas to see - be sure to visit the Votive Church and Crypt. The 3$ museum was good to containing a nativity scene from around the globe exhibit.,None
31,Niveen Sawooq,5,2023-02-06,"Saint Joseph Oratory is a very beautiful Catholic Church located in a very strategic location in Montreal.
It is a must seeing place. This place has a special place in my heart. The first …",None
32,Jesse Locklear,5,2023-02-06,"What a beautiful  church!! I truly enjoyed exploring the sanctuary, the steps, and the gift shop. The views of Montreal were breathtaking. I highly recommend visiting this beautiful holy place!",None
33,Darwin Davis,5,2023-06-06,One of the best places to watch the Sun set! A really beautiful sunset point and a marvellously built church. Great place to spend your weekend here.,None
34,Nehal Sanghi,5,2023-06-06,We visited this place during our Montreal visit. Evening time is best to go here since you can wait until the sunset. It is perfect spot in Montreal to view sunsets and has great views. Highly recommend going here!,None
35,Marcelle Torres,5,2023-04-07,"Amazing place, with a beautiful and meaningful history.
Besides the stunning sunset view, I strongly recommend Brother's Andre Museum on the 5th floor.",None
36,Dan Hegsted,5,2023-05-07,This is a grand site. More modern but with great views of the city. Reasonable parking in the off season and no big push for cash. The statue of many nations and entertaining angels unaware was wonderful,None
37,CAIO VINTURINI,5,2023-06-06,"Beautiful church ! There is parking in the lower portion in level of street. To climb to the church, they offer a free bus",None
38,Sowmit Barua,5,2023-06-06,One of the must see places in Montreal. We always stop by here when we're in the area and will continue to do so. First floor with the candle area should be checked out,None
39,Julia Desjardins,4,2023-04-07,"Beautiful, peaceful, welcoming place. Lovely place worthy of reflection and contemplation, regardless of your religion or beliefs. Must return for a concert in the beautiful Basilica or Crypt. Votive crypt gives pause for thought.",None
40,aDeL Khoiniha,5,2023-02-06,"The interior and exterior architecture is awesome! Lots of beautiful flawless details in interior design! The height of the dome is astonishing 🤩
My tip: …",None
41,Anas El-Aneed,5,2023-06-22,lovely place to visit and enjoy the view and maybe meditate in the church ⛪️,None
42,Mohnish N,5,2023-05-07,"Biggest in canada - it has multi level two huge halls with a beautiful city view.
Save your energy with Free shuttle from parking lot till main building entrance.",None
43,Akshaya Badhe,4,2023-02-06,This Oratory is really huge and you must visit this place when in Montreal. There was construction going on last year when I visited so I'm assuming they are expanding the entrance. It has many churches inside and it is really well …,None
44,Rolando Rivas,5,2023-06-06,"Beautiful inside out. Masses in French, English and Spanish 🙏🙏so lovely, peaceful..A MUST TO VISIT.. BLESSINGS …",None
45,Deborah Lin,5,2023-02-06,A hidden gem in the city with very few tourists in the winter. The front is currently under construction but there are shuttle buses to bring you up to the cathedral. The interior is magnificent and outside is a great spot for watching the sunset.,None
46,Pedrin Crack,5,2023-03-08,"A huge and very beautiful basilica, it has a modern looking interior",None
47,Always Hungry,5,2023-04-07,"A beautiful church to visit. Sadly the renovations in front of the church are taking forever ( more than two years to build stairs?!) but It is still worth a visit. It is pretty much modern and has a cafet, resto, souvenir shop, museum and so much more!",None
48,Jonathan Johnson,5,2022-11-08,"A really special Catholic shrine that is worth visiting, especially at sunset. There were many people gathered on the front steps together ""worshipping"" by looking at the city as the sun set, talking, laughing, evening having a secret drink …",None
49,Nhazarr,5,2023-06-06,"There’s are 2 cathedrals here, crypte and basilica. So beautiful and super big",None
50,N M,5,2023-06-15,"Under construction but a free shuttle is offered to the top. Definitely take it! It’s a super long walk. Reverent place, amazing views of the city.",None
51,The Little Wisdom,5,2023-06-06,Great place to enjoy sunset in summers if u dnt want to go far outside the city.,None
52,Jonathan Cendana,5,2023-06-06,I always visit the place when i go to Montreal. Not just for the holy experience but for the stunning view as well.,None
53,anjaly joseph,5,2023-01-07,The interior and architecture is really special here. But the positive energy and the atmosphere is in the small church downstairs which is hard to explain ❤️. Seeing the saints heart in there was different feeling,None
54,WK,3,2022-12-08,"Renovation has been underway for years since my last visit in 2019.   Finally, I visited inside. It is grant outside but inside is dated. Not much to see.  It does has a view to the city. Good that they don't charge a fee.  Still suggest to go if you have never been there to complete your bucket list in Montreal.",None
55,Smile Anand,5,2023-03-08,It was so beautiful and I literally felt lost in there. Really relaxing!!!! It's a one time visit only kinda thing according to me.,None
56,Philip Welch,5,2023-01-07,We stopped here late in the day for a visit. You really need to have a day for a full experience. Beautiful place and a very moving experience. I will definitely  come back again!,None
57,Rafael Cordero,5,2023-05-07,"This is a must see in Montréal. It is set up on a hill and the views of the island and of the city are amazing. The building is large and impressive. It was a great experience, feeling the culture of faith in this city, learning of Br. Andre and of the patron of the city, St. Joseph.",None
58,Alice Lin,3,2023-04-07,"Because of the construction they are doing, I took another half hour to find the way to the St Joseph’s oratory. But the view is great and the church is beautiful.",None
59,Nassar Abujabal,4,2023-06-06,"The view is very nice from up there, its garden is under construction now.",None
60,Beatriz Araújo,5,2023-02-06,Very beautiful church with a more modern architecture. Be sure if you want to check out the view over Montreal to go on a more clear day/night.,None
61,Holly King,4,2022-11-08,There is a $5 entrance/parking fee and parking is below and you can wait for a shuttle or walk up (it is quite steep) or you can try for a spot next to the church but go early or very late. …,None
62,Anmol Joneja,1,2023-02-06,"I went in winter, maybe best not to, because the gardens are closed.  I imagine the views would be nice from the observatory but that was closed too. …",None
63,Beleng Monese,5,2023-04-07,"Amazing experience maan. The building, the view, the people. Thank you, everybody involved, from the sir that collected us with bus and inhiyse service people.",None
64,Francisco Delgado,4,2023-04-07,"It’s a huge church, it has a great view of Montreal and according to local regulations no other building should be taller than this one. Worth visiting.",None
65,Sai Kiran Kodupaka,5,2023-06-29,"Beautiful place to visit during sunset. Currently, some parts are under construction.",None
66,Vbf 0407,5,2022-10-09,What a beautiful and amazing church! Parking spots is plentiful. But I suggest trying to park up top if you do not want to walk up and down later on on a steep incline. It’s good cardio though. This was my first visit and had our vehicle …,None
67,Rohit Patil,5,2023-06-29,"Each time I visit this place, I feel at peace. Such a beautiful and spiritual place to visit!",None
68,Kathryn Corselius,5,2022-11-08,"Beautiful church, and a great place to visit on a trip to Montreal. Entrance is free, but there is a suggested donation to park on the property. The upper parking lot is busy and it's hard to find a space, so be sure to wear comfortable walking shoes to make the walk up the hill from the lower lot if necessary.",None
69,SSIU,5,2023-02-06,"Must see in Montreal,  very different than Notre Dame Basilica in old Montreal. During renovation, you have to wait for shuttle bus to go up from the entrance. You may want to check the schedule to plan your time to visit. …",None
70,Cris Jardim,5,2022-10-09,Loved visiting this church. Beautiful inside and an awesome view of whole of Montreal. At this moment the grounds are under construction. You can the a shuttle bus from the parking lot right up to entrance. It is quite a walk up the hill. It has a great little gift shop as well as a food court.  Lots to see. Certainly worth the visit,None
