ID,Reviewer,Rating,Review Time,Review Content,Owner Response
1,Mka,3,2023-04-07,"My visit was for a Final Fantasy Piano Concert and my review is for the setup. First the chairs are placed in a way that if someone taller sits in front of you, good luck at seeing anything. This could be fixed by placing the chairs behind diagonally. Luckily nobody was sitting in front of me but at least 2 of my friends had this problem. Second, and this was annoying me, the center piece is the piano and so the stage light was on it and all I could see was the piano with smudges. Please clean your piano or whatever if it's going to the focus. It was really annoying to see and can't be unseen like the arrow in the FedEx logo.","Hi Mka. Thank you for you feed back. We are sorry to hear that you had encounter inconveniences during your visit. In this kind of set up we place our chairs in staggered rows, so as to facilitate visibility of the sage for all. But if you have trouble seeing the stage and enjoying the show,  in this situation, we encourage you to go talk to our hall manager or ushers, they would have gladly help you sorting this seatting situation and make sure you had the best experience possible. 
Regarding the piano, we are renting it from the best piano renting place in Montreal and once they have settled it on the stage and tuned it, we can no longer touch it. But we will be sharing your comment to make sure we are according extra attention to those details at any kind of events we have. 
I hope we will have the pleasure to welcome you again at our venue and make sure you have the best experience here. 
Best, "
2,Johnny Evangelista,5,2022-07-06,"I went to see a stand-up comedy show here. The place is beautiful and the sound was perfect, considering it was a church and the ceiling is super high. What a great venue! Highly recommend checking it out.",Wow thank you so much Johnny ! Looking forward to welcoming you again !!
3,Mick Kopis,4,2022-09-09,We came here to see a secret show by Sugar Sammy. It had a bit of a wedding setting with round tables throughout the place. The only downside is that the toilets are inconveniently located in the basement of the complex which took forever to get to. Would love to see this place for a wedding!,None
4,Patrick Balyan,5,2020-07-06,"I rented this spot to do an event and simply wow. The technical team really made the ambiance wow. This spot is eco friendly too, which I respect a lot. An old church converted into a hall.",None
5,Eva Villalba,5,2022-08-10,"Impressive venue in a converted Art Deco church for medium sized intimate shows (like comedy). Good table service and nice outdoor summer patio bar to wait till doors open. A new discovery,  but will check it out again soon.",None
6,Jonathan N,5,2019-07-07,"First time going. It’s a converted church. Very nice inside. Very clean, well maintained. I went to go see wrestling there and it was also great. Easy to get to by metro.",None
7,Fiesta Location,5,2023-02-06,Beautiful place to any kind of event.,None
8,Julian Genio,3,2023-05-07,Beautiful venue. Poorly located. Alcohol is too expensive. 18$ for 2 cans of beer. We're not at the bell centre.,Merci de le commentaire! Au plaisir de vous revoir!  Nous croyons que nous serons dans un des plus beaux coins de Montréal avec les années en bordure du canal Lachine.  Nos prix ne sont pas très différent des autres salles à Montréal.  Merci d'avoir pris le temps de nous visiter.
9,Scottie “Scot” Weatherup,5,2022-08-10,Nice venue ( converted church ) . So far so good. Clean washrooms.,Thank you Scot ! Th
10,Tanisha Morisseau,5,2023-03-08,Worked an event there for a night . Its just beautiful !! The staff is amazing .,Merci de le commentaire! Au plaisir de vous revoir!
